Title,Year,Source title,topic
Digital restaurant reviews and perceived privacy: a comparative study of Google Maps and TripAdvisor in the foodservice sector,2026,British Food Journal,-1
Intelligent Food Ordering Using MERN Stack with Real-Time AI Personalization and Automation,2025,"Proceedings of 10th International Conference on Communication and Electronics Systems, ICCES 2025",14
Smart Coffee Order: A Mobile Application Framework for Independent Cafés Using Design Thinking Approach,2025,"2025 20th International Joint Symposium on Artificial Intelligence and Natural Language Processing, iSAI-NLP 2025",-1
Sacred journeys or serene retreats? Strategic choices at Jahangir Cottage,2025,CASE Journal,-1
Striking a paradoxical balance: Shakespearean insights for hospitality management,2025,Tourism and Hospitality Research,6
Buying Goods for Doing Good? Searching for Answers From Consumers' Responses to Consumption Philanthropy,2026,International Journal of Consumer Studies,-1
Evaluating the Impact of an AI-Driven Virtual Agent for Hotel Customer Service,2026,Lecture Notes in Mechanical Engineering,0
Can AI improve hotel service performance? A systematic review using ADO-TCM,2025,Tourism and Hospitality Research,0
"Revolutionizing hospitality management systems with AI, VR, and machine learning",2025,"Revolutionizing Hospitality Management Systems With AI, VR, and Machine Learning",0
Key Organizational and Operational Factors Influencing Environmental Sustainability Practices in Small to Medium-Sized Hotel Enterprises: A Literature Review,2026,International Journal of Sustainable Development and Planning,8
Optimizing Sentiment Analysis on Imbalanced Hotel Review Data Using SMOTE and Ensemble Machine Learning Techniques,2025,Journal of Applied Data Sciences,2
The Power of Words: Leveraging Deep Learning Techniques to Predict Hotel Ratings from User Reviews,2025,"2025 24th International Symposium INFOTEH-JAHORINA, INFOTEH 2025 - Proceedings",2
Exploring the role of artificial intelligence in transforming tourism: A systematic review of its impact on business performance,2026,"African Journal of Hospitality, Tourism and Leisure",0
Digital Transformation in Tourism and Hospitality: Towards Sustainable and Innovative Management,2025,Digital Transformation in Tourism and Hospitality: Sustainable Management Strategies for Long-Term Excellence,11
Redefining the servicescape in hospitality through technology and artificial intelligence: a conceptual framework,2025,International Journal of Contemporary Hospitality Management,0
Understanding Consumer Responses to Robotic Cafés: A Person–Environment Interaction Perspective,2026,Cornell Hospitality Quarterly,1
Customers’ metaverse service encounter perceptions: sentiment analysis and topic modeling,2025,Journal of Hospitality Marketing and Management,2
Is It genuine or fake? Analyzing e-commerce reviews using large language models,2025,Knowledge-Based Systems,2
Innovation in Gastronomic Tourism: Impact of Robotic Services on Sustainable Customer Experiences,2026,International Journal of Tourism Research,1
"Influences of Menu, Restaurant Ownership, and Location on Chinese Ethnic Diners’ Authenticity Perceptions",2025,SAGE Open,-1
Business Intelligence Integration and Data Analytics for Enhanced Hospitality Management in Neptune Travel and Tours,2025,"2025 16th International Conference on E-Education, E-Business, E-Management and E-Learning, IC4e 2025",0
"Artificial intelligence (AI) technology, its applications and the use of AI powered devices in hospitality service experience creation and delivery",2025,International Journal of Hospitality Management,0
Empowering Sustainable Development: The Role of E-Commerce Adoption in Advancing SDGs Among Youth,2025,Progress in IS,13
What customer experience and value dimension(s) mostly drive luxury hotel brand purchase intention?,2025,International Journal of Hospitality Management,-1
Understanding tourists' adoption of edible food packaging: the role of environmental awareness,2025,Journal of Hospitality and Tourism Insights,-1
Robots vs humans: an examination of emotional and cognitive responses in upselling and cross-selling,2025,Journal of Hospitality and Tourism Technology,1
Assessing Emotional Intelligence among Employees in the Private Hospitality Sector: An Analytical Hierarchy Process (AHP) approach,2025,Fusion: Practice and Applications,-1
The Impact Mechanism of Anthropomorphism on Hotel Customer Trust and Usage Intention: A Study on Service Robots,2025,"2025 8th International Conference on Robotics, Control and Automation Engineering, RCAE 2025",1
NOVEL FINE-TUNED BIDIRECTIONAL GRU AND FASTTEXT EMBEDDINGS FOR LOCATION-BASED SENTIMENT ANALYSIS AND PREDICTIONS,2025,"Interdisciplinary Journal of Information, Knowledge, and Management",2
"The Impact of the Internet of Things, Atmosphere and Customer Experience on Customer Satisfaction in Smart Hotels",2026,Lecture Notes in Networks and Systems,0
How Can Chatbots Help Companies to Improve the Customer Experience Offered to Their End Users/Customers in the Tourism Industry?,2025,Tourism and Hospitality,0
When indulgence meets self-discipline: Exploring the effect of vice-virtue bundle's contagion potential on food purchase intention,2025,International Journal of Hospitality Management,5
The Effects of Customer Engagement in CSR on behavioral Intentions in the Hotel Industry,2025,Polish Journal of Sport and Tourism,3
Competitive Dynamics in the Development of Technological Innovation in the Hospitality Industry,2026,Review of Integrative Business and Economics Research,12
"Emerging nature café: Boosting customer quality of life, emotional well-being, and positive approach behavior",2025,Acta Psychologica,-1
A health-oriented decision model of insect protein bars: Moderated by age and sensory appeal,2025,International Journal of Hospitality Management,5
"Normal-sized for female chef, oversized for male chef? The effects of gender and body size stereotypes on food purchase intentions",2025,International Journal of Hospitality Management,5
Tourism and plastic waste: challenges of sustainable packaging for micro food and beverage enterprises,2026,Management Decision,-1
Charting Guest Experiences: A Graph-Powered Recommendation System Driven by Customer Reviews,2025,Lecture Notes in Networks and Systems,2
Exploring Customers’ Brand Experiences Within Heritage Hotels: A Case of Old Boma Hotel in Tanzania,2026,Journal of Hospitality and Tourism Cases,6
Personality Meets Satisfaction: A Journey into the Impact of Hotel Staff Traits on Guest Experiences; [La personalidad encuentra la satisfacción: Un Viaje hacia el impacto de los rasgos del personal hotelero en las experiencias de los huéspedes],2026,Investigaciones Turisticas,7
Sustainability in travel: Exploring the evolution and future of CSR in hospitality and tourism,2025,Intersections of Niche Tourism and Marketing,3
AHaSIS: Shared Task on Sentiment Analysis for Arabic Dialects,2025,"International Conference Recent Advances in Natural Language Processing, RANLP",2
Open innovation in hospitality and tourism services: a bibliometric analysis,2025,International Journal of Innovation Science,12
Decoding green servicescape effects on hotel revisit intention: A multi-method analysis of configurational and linear mechanisms,2026,Tourism and Hospitality Research,8
Sustainable Halal Tourism: QR-code Menu in the Restaurant Industry,2026,Halal Tourism and Artificial Intelligence: New Approaches for a New Generation,-1
The Impact of AI on Customer Experience in the Tourism and Hospitality Industry: Perspectives from Developing Market Destinations,2026,"Artificial Intelligence in Hospitality and Tourism in Africa: Prospects, Opportunities and Challenges",0
From clicks to quick bites—social media engagement and logistics efficiency as drivers of fast-food consumption in the United Arab Emirates,2026,Frontiers in Sustainable Food Systems,-1
Evaluating the performance of sentiment analysis in the Airbnb market,2025,Anatolia,-1
Role of digitalization into hospitality businesses: Innovations and trends,2025,Transforming the Service Sector With New Technology,11
The effects of a multidimensional parasocial relationship with an influencer on customer behavioral intention in restaurants,2025,Journal of Hospitality and Tourism Technology,-1
Transforming Hospitality into “Hospital”ity: The Effect of Grit on the Use of Wellness-Friendly Hospitality Services,2026,Tourism and Hospitality,3
Biometrics as a Key Factor for Emergent User Experience Evaluation,2025,"Biometrics: Challenges, Trends and Opportunities",4
Tourist Experience and Perception in the Pandemic and Post-Pandemic Era,2025,Tourist Experience and Perception in the Pandemic and Post-Pandemic Era,9
"Smart hospitality: Reflecting on today, inspiring tomorrow",2025,A Research Agenda for Smart Hospitality,0
Enhancing the Authenticity of Artificial Intelligence (AI)-Designed Souvenirs,2026,Journal of Hospitality and Tourism Research,0
The mediating role of brand equity in corporate social responsibility and customer purchase intention based on text-CNN model,2025,Scientific Reports,2
Generative AI in hospitality and tourism: a dual-stakeholder perspective on tourist and workforce experience dynamics,2026,Tourism Review,0
Metaverse as content or container? Exploring the future of customer experience in tourism,2025,Technological Forecasting and Social Change,4
Green Hotels and Loyal Guests: The CSR Effect in Poland’s Tourism Sector,2025,American Business Review,3
System Design of a Smart Food and E-Commerce Platform with Performance Optimization,2026,"Proceedings of 5th International Conference on Communication, Computing and Electronics Systems, ICCCES 2026",14
"Sharing experienscape, reflexivity, & re-engagement: A cross-cultural study",2026,International Journal of Hospitality Management,6
Examining the effect of AI innovations on consumer experience by mediating the role of competitive advantage in the case of eco hotels in Ethiopia,2025,AI Innovations for Customer Experience Optimization in the Service Sector,0
Accounting for Neurodiverse Users in the Practice of Interior Design: A Case for User-Friendly Hotels,2026,"Design and Architecture for Sustainable, Resilient, and User-Friendly Cities and Interiors",-1
Transforming Guest Experiences: The Role of Smart Technologies in Modern Hotels,2026,Lecture Notes in Networks and Systems,0
Preference for assistance from service robots or human staff？The impact of social exclusion experience,2025,International Journal of Hospitality Management,1
Impact of Technology-Based Service Innovation on Customer Satisfaction and Loyalty in Luxury Hotels,2025,"Proceeding - 2025 4th International Conference on Creative Communication and Innovative Technology: Empowering Transformative MATURE LEADERSHIP: Harnessing Technological Advancement for Global Sustainability, ICCIT 2025",12
Shedding light on new technology: How ambient luminance influences acceptance of AI technologies,2025,International Journal of Hospitality Management,0
Big Data Analytics in Travel and Hospitality,2025,The Role of Artificial Intelligence in the Tourism and Hospitality Sector,-1
"Perceptions and challenges of blockchain adoption in tourism industry: a study on trust, privacy and security",2025,Journal of Hospitality and Tourism Technology,-1
Translating Sustainability into Customer-Perceived Value: A Social Exchange Theory Perspective on Pro-Environmental Work Behavior in Ghana’s Hospitality Sector,2025,Tourism and Hospitality,8
The metaverse: a giant leap for space tourism or a virtual mirage?,2026,Journal of Hospitality and Tourism Insights,4
Determining role of local cuisine in generating customer satisfaction: A study on homestay units in Uttarakhand,2025,Global Practices and Innovations in Sustainable Homestay Tourism,-1
Airbnb customer experience in long-term stays: a structural topic model and ChatGPT-driven analysis of the reviews of remote workers,2025,International Journal of Contemporary Hospitality Management,-1
Transforming Guest Experiences in the Hotel Industry: Harnessing Generative AI for Personalized and Seamless Hospitality Solutions,2025,"2025 IEEE 3rd Global Conference on Wireless Computing and Networking, GCWCN 2025",0
The role of information cues in shaping green restaurant intentions: An extended norm activation theory approach,2026,International Journal of Hospitality Management,8
Rehumanizing AI-Driven Service: How Employee Presence Shapes Consumer Perceptions in Digital Hospitality Settings,2025,Journal of Theoretical and Applied Electronic Commerce Research ,1
The Impact of AI Adoption on Guest Experience and Satisfaction in Hospitality Industry,2025,"Proceeding - 2025 4th International Conference on Creative Communication and Innovative Technology: Empowering Transformative MATURE LEADERSHIP: Harnessing Technological Advancement for Global Sustainability, ICCIT 2025",0
Are Asians too polite or is it altruism? Deciphering motivations and positive electronic word-of-mouth of Hipster café dining experience in Malaysia and Indonesia,2025,Food Research,-1
Blockchain-based loyalty programs in the hotel industry: a systematic review,2025,Journal of Hospitality and Tourism Technology,0
The green power of partnership: Exploring co-branding strategies to promote upcycled food in hospitality,2026,International Journal of Hospitality Management,-1
Developing a Deep Learning-Based Sentiment Analysis System of Hotel Customer Reviews for Sustainable Tourism,2025,Sustainability (Switzerland),2
Employee Perspectives on the Virtual Environment in Metaverse Hotels: Insights and Implications,2025,Tourism and Hospitality,4
Rethinking language fluency: The role of mindset and authenticity in how poor communication enhances service evaluations in hospitality settings,2026,International Journal of Hospitality Management,-1
Metaverse in Hospitality and Tourism: A Focus on Customer Perceived Value and Experience,2025,International Journal of Hospitality and Tourism Systems,4
Literature Review of Brand Equity Budget Hotel in Indonesia Based on Customer Perspective,2026,Studies in Computational Intelligence,-1
The Role of Artificial Intelligence in Customer Engagement and Social Media Marketing—Implications from a Systematic Review for the Tourism and Hospitality Sectors,2025,Journal of Theoretical and Applied Electronic Commerce Research ,0
Building green brand equity through sustainable hospitality consumption value: The moderating impact of environmental identity and environmental activism,2025,Journal of Hospitality and Tourism Management,8
"Diversity, equity, and inclusion (DEI) research in tourism and hospitality: insights from bibliometric analysis",2025,International Journal of Contemporary Hospitality Management,-1
How flow drives engagement and loyalty,2026,International Journal of Contemporary Hospitality Management,10
When hosts appear in different territories: Fluctuating purchase intentions,2025,Tourism Management,-1
FARMFUSION AGRI PLATFORM: An Integrated ML-Driven Farmer-Consumer Marketplace with Optimized Product Discovery and Certificate Verification,2026,CCIC 2026 - Contemporary Computing Innovations Conference 2026,14
Product Evolution in the Experience Economy: How to Develop a Welcoming Experiential Offering,2026,Journal of Business-to-Business Marketing,-1
Enhancing Customer Experience Through Immersive Technologies,2026,"Shaping Tomorrow: Unveiling the Potential of AR, VR, and MR in Every Realm",4
Driving human-robot value co-creation in hospitality: The role of artificial empathy,2025,International Journal of Hospitality Management,1
Investigating the effectiveness of virtual and human influencers on purchase intentions in hotel promotions: the role of authenticity and postmodern authenticity,2025,Tourism Recreation Research,10
The impact of perceived restaurant spatial design on word-of-mouth: a decision tree approach,2026,Consumer Behavior in Tourism and Hospitality,-1
Leadership networks: Shaping AI innovations through responsible practices in Vietnamese tourism and hospitality firms,2026,Tourism Management,0
Eco-conscious luxury: decoding the preferences of affluent travellers in sustainable hospitality,2025,Journal of Hospitality and Tourism Insights,8
Internet of Things and big data in the hospitality industry: Current state and future prospects,2025,Handbook on Big Data Marketing and Management in Tourism and Hospitality,0
Enhancing food truck entrepreneurship through quality and customer satisfaction: a cross-country study,2025,British Food Journal,5
Transforming Hospitality Using Artificial Intelligence and Machine Learning in the Hotel Industry: An Extensive Literature Review,2025,Lecture Notes in Networks and Systems,0
Engage the Chatbot Way: From a Tourist to Brand Advocate,2026,International Journal of Tourism Research,0
"The emotional algorithm: nostalgia, artificial intelligence and buying intentions",2026,International Journal of Contemporary Hospitality Management,0
Artificial intelligence-driven approaches for halal tourism and hospitality: a framework for enhancing consumer trust and meeting Muslim travelers’ needs,2026,Journal of Islamic Marketing,0
Human agency in AI-driven work transformation: exploring hospitality employees’ adaptation strategies; [人工智能驱动工作转型中的人类能动性：探究接待业员工的适应性策略],2026,Service Industries Journal,0
Digitalizing hotel industry: Inhibitors and implications for sustainability,2025,International Journal of Technology Management and Sustainable Development,11
Assessing the Role of Augmented Reality in Shaping the Future of the Hotel Industry: A Literature-based Perspective,2025,AI and the Future of Smart Cooking,4
Autonomous Indoor Navigation Robot for Restaurant Environments,2025,"International Conference on Computational Robotics, Testing and Engineering Evaluation, ICCRTEE 2025",1
The role of digital touchpoints in the five-star hospitality customer journey,2025,Effective Marketing and Consumer Behavior Tactics for High-End Products,-1
Hospitality in Romanian Hospitals: A Modern Customer Experience,2026,Springer Proceedings in Business and Economics,-1
Exploring serial patterns in negative hotel reviews,2025,Annals of Tourism Research Empirical Insights,7
Impact of Spa and Wellness Tourism on Local Market of Alleppey in Kerala: A Critical Review,2025,Cultural Pressures and Mental Health Challenges in Gen Z's Digital World,-1
Empowering the traveler: the impact of algorithm transparency and customer control on customer experience,2026,Asia Pacific Journal of Tourism Research,0
Technology-Driven Transformation in Hospitality Marketing,2026,Integrating Social Media Tools Into Hotel Operations and Marketing,0
Leveraging Azure Automated Machine Learning and CatBoost Gradient Boosting Algorithm for Service Quality Prediction in Hospitality,2025,Computers,2
How does viewing food products in 2D or 3D affect consumer evaluations?,2025,Food Quality and Preference,-1
Connecting the Dots: Exploring the Interplay of Visual and Non-Visual Cues in Social Commerce for Jordanian Entrepreneurial Lodgings,2025,International Journal of Human-Computer Interaction,-1
Open innovation and technology in tourism and hospitality,2025,Open Innovation and Technology in Tourism and Hospitality,11
TELLING THE TALE OF A 5-STAR HOTEL: THE SERVICESCAPE STORIES IN SHAPING CUSTOMERS’ EXPERIENCES ONLINE,2026,Digital Marketing Advanced in Tourism: Theoretical Bases and Applications,6
Blockchain and finance management in the hospitality industry,2025,"Revolutionizing Hospitality Management Systems With AI, VR, and Machine Learning",0
Participation of electric vehicle charging station aggregators in the day-ahead energy market using demand forecasting and uncertainty-based pricing,2025,Energy,15
Why AI robot chefs backfire: Consumer responses to robot-themed appeals,2025,Journal of Hospitality and Tourism Management,1
Customer-centric circular economy as-a-service decision-making: Machine learning-driven open innovation in food service,2025,Cleaner Environmental Systems,2
Tourists’ Behavior Toward Hotel Service Robots: Application of the Big Five Personality Traits Framework,2025,Springer Proceedings in Business and Economics,1
Is this real or Fake? Examining the effects of disclosure of AI-generated content and source type in instagram-based travel destination advertising on consumer attitudes and behavioral intentions,2026,Computers in Human Behavior,10
ONLINE REVIEWS CAN TELL US HOW THE EXPERIENCE OF THE GUEST WITH THE VIETNAMESE HOTEL,2025,Geojournal of Tourism and Geosites,2
Digital twins: a game changer in customer experience,2025,Journal of Service Management,0
Development and Validation of the Self-Goal-Directed Social Media Usage Scale and Exploring Its Roles and Gender Effects on Customer Decision-Making,2026,Gender Issues,10
Drivers of digital currency adoption and their configurational impact assessment in tourism and hospitality: loss aversion under prospect theory,2026,Current Issues in Tourism,-1
Towards a better understanding of food raft entrepreneurs’ ecological behaviour,2025,Tourism and Hospitality Research,8
The link between customer perception and green marketing: A study on sustainable practices in Indian hotels,2025,Green Economics and Strategies for Business Sustainability,8
Workplace Spirituality in the Tourism and Hospitality Sector: A Systematic Literature Review,2025,Management and Labour Studies,6
Guest-centric AI: A theoretical inquiry of guest experiences on the integration of AI chatbots among luxury guest accommodations,2025,The AI Metaverse Revolution: Transforming Multi-Business Scenarios (Volume 1),0
Effects of human-like vs. anime-like virtual streamers on continuous watching and purchase intentions in tourism and hospitality e-commerce live streaming: A moderated serial-mediation model,2026,Tourism Management Perspectives,10
"Implications of retailer-owned digital twins services: The trade-offs between customer experience, misfit returns reduction, and investment costs",2026,Journal of Retailing and Consumer Services,15
ChatGPT Coolness-Desirable Framework for Tourism and Hospitality,2025,Journal of Travel Research,0
Digital Dimensions: Investigating Virtual Worlds’ Impact on Hotel Selection,2026,Destination Data: Charting the Course for Transformative Travel Experiences,4
ASSESSMENT OF SERVICE QUALITY OF WHOLESALE CONSTRUCTION AND FINISHING MATERIALS SALES COMPANIES: CASE OF LITHUANIA,2025,Business: Theory and Practice,-1
LGBTQ+ friendly brand management: A brand legitimacy perspective,2025,International Journal of Hospitality Management,-1
Exploring Difference of Customer Emotion Towards Robot and Human Employees in Different Hotel Service Scenarios,2026,Journal of Quality Assurance in Hospitality and Tourism,1
Improving the Quality of Services and Increasing Customer Satisfaction in the Hotel,2025,"2025 2nd International Conference on Advanced Innovations in Smart Cities, ICAISC 2025",0
The Future of Travel: A Review of Chatbot Recommender Systems in E-Tourism and Smart Tourism,2025,Sustainable Civil Infrastructures,0
Convolutional Neural Networks for Automated and Non-Intrusive Measurement of Customer Satisfaction in Restaurants,2025,Tourism and Hospitality,2
Can virtual influencers affect purchase intentions in tourism and hospitality e-commerce live streaming? An empirical study in China,2025,International Journal of Contemporary Hospitality Management,10
How animated discount display increases online purchase intention: Moderated mediation via perceived discount depth and curiosity,2026,Journal of Hospitality Marketing and Management,-1
"8th International Conference on Computer-Human Interaction Research and Applications, CHIRA 2024",2025,Communications in Computer and Information Science,4
The digital renaissance of hospitality: Workforce mastery in the smart revolution,2025,Smart Operations and Enhancing Guest Experience in the Hospitality Industry,0
The evolution of technology in the service sector concerning hospitality,2025,Transforming the Service Sector With New Technology,0
"Online technologies, frontline interactions: dynamics of customer service in post-pandemic hospitality and tourism organizations",2025,International Journal of Organizational Analysis,9
CUSTOMERS’ EXPERIENCE OF SHARING HOSTING PLATFORM SERVICES; [Expérience des clients utilisant des services de plateformes d’hébergement mutualisé],2025,Revue Europeenne d' Economie et Management des Services,-1
Stakeholder Differences in Valued Hotel Green Practices,2025,Sustainability (Switzerland),8
Do virtual tours really enhance customer satisfaction with physical experiences? A quasi-experimental study on Airbnb,2025,Journal of Hospitality and Tourism Management,4
"Emerging Trends in Tourism and Hospitality: Exploring Digital Transformation, Sustainability, and Experience Economy",2025,Digital Transformation in Tourism and Hospitality: Sustainable Management Strategies for Long-Term Excellence,11
"Working Like Goldfish: Emotional Labor and the Creation of Modern Consumer Culture in Japan, 1900s–1930s",2025,Enterprise and Society,-1
Retrospection of guest experience research landscape in the hospitality industry using bibliometric analysis,2025,International Journal of Process Management and Benchmarking,-1
What makes an AI-themed hotel successful? New evidence from a sequential research design,2025,International Journal of Contemporary Hospitality Management,0
Mapping Research on Artificial Intelligence Adoption in Hospitality: A Bibliometric Study,2026,"Studies in Systems, Decision and Control",0
Examining the role of untact innovative technologies in restaurants and consumer purchase intention: tackling with post COVID-19 circumstances,2025,International Journal of Business Information Systems,-1
Can service authenticity in nostalgic hotels promote brand resonance? The roles of self-image congruity and memorable customer experience,2026,International Journal of Hospitality Management,3
"Building the Gap: Aligning Brand Image with Guests’ Perception to Improve Marketability in 4-Star Hotels in National Capital Region, Philippines",2026,Review of Integrative Business and Economics Research,3
Adoption and User Experience of AI-Enabled Food Kiosks in Quick Service Restaurants: Insights from College Students,2026,Lecture Notes in Networks and Systems,13
How Service Climate Drives Job and Customer Satisfaction: Evidence for Mediation Effect from the Hospitality Industry,2025,Global Business and Finance Review,-1
Tourist coping strategies and vulnerability to digital deception along the customer journey: how tourists react,2026,Current Issues in Tourism,-1
Experience Economy Model,2025,Theories and Models in Tourism and Hospitality Research,6
Rethinking Service Sabotage: Identifying Service Sabotage Dimensions and Negative Emotions Through the Customer’s Perception,2025,Journal of Quality Assurance in Hospitality and Tourism,3
"Redefining service quality: Development and validation of the, robotic service quality scale",2026,International Journal of Hospitality Management,1
FROM REDUNDANCY TO DELIGHT: TOWARDS OPTIMIZED ORGANIZATIONAL OUTCOMES,2025,Tourism and Hospitality Management,3
Navigating the Digital Dilemma: Challenges and Solutions for Guest Data Protection in a Contactless Environment,2025,Future of Contactless Technology in Hotels and Restaurants,0
"Customer evangelists: Elevating hospitality through digital competence, brand image, and corporate social responsibility",2025,International Journal of Hospitality Management,3
SUSTAINABLE HOTEL SUPPLY AND PURCHASE INTENTION. A REVIEW OF THE LITERATURE; [OFERTA HOTELERA SUSTENTABLE E INTENCIÓN DE COMPRA. UNA REVISIÓN DE LA LITERATURA],2025,Turismo y Sociedad,8
Designing innovation in urban hotels through guest experience data on interior design,2025,European Journal of Innovation Management,-1
A Hybrid Fuzzy-BERT Framework for Aspect-Based Sentiment Analysis of Restaurant Reviews in Terengganu,2026,"2026 International Conference on Cognitive Systems and Computer Interaction, ICoSCI 2026 - Proceedings",2
"Hotel Websites’ Effects on E-Trust, E-Satisfaction, and E-Loyalty in Indonesia’s Five-Star Hotel Industry",2026,Lecture Notes in Networks and Systems,0
Economic impact of artificial intelligence (AI): Conceptualization of business value of AI and future agenda for tourism and hospitality research,2026,Tourism Economics,0
Bridging the Soft Skills Gap: Do Tourists and Hospitality Managers See Eye to Eye?,2026,European Journal of Tourism Research,-1
AI-Driven Information Systems for Sustainable Tourism: A Review of IoT and Big Data Applications,2026,"Journal of Human, Earth, and Future",0
Enhancing guest experience with data-driven customization: Path to customer loyalty,2025,"Digital Disruption in Hospitality, Sustainable Hospitality: A Global Perspective on People, Planet, and Profit",-1
Digital Information Systems in Hospitality: A Comparative Study of User Feedback and Rating Mechanisms Across Booking Websites,2025,IEEE Access,2
Customers’ Attitudes Towards the Functional Use of Service Robots in a Hotel Environment,2025,Tourism and Hospitality for Sustainable Development: Volume Three: Implications for Customers and Employees of Tourism Businesses,1
"Conceptual framework of guest satisfaction, exploring customer expectations and security measures with emergency preparedness in hotel hospitality",2026,International Journal of Business Performance Management,7
A double-edged sword: Exploring the effectiveness of expressed subjectivity in virtual influencer endorsements,2025,Journal of Retailing and Consumer Services,10
AI in customer experience and digital marketing: a bibliometric and thematic review (2004–2025) with sensory marketing lens,2026,Cogent Business and Management,0
"Analyzing Influential Factors in Review-Based Restaurant Recommender Systems: The Role of Review Length, Aspect, and Emotion",2026,Electronics (Switzerland),2
The Robot–Human Paradox: A Meta-Analysis of Customer Service by Robots Versus Humans on Customer Experience,2025,Journal of Consumer Behaviour,1
Evaluating the Use of Generative AI Travel Assistants in Smart Tourism through Student Feedback,2025,"Journal of Computers, Mechanical and Management",0
The strategic importance of onboarding: Case study in the hotel industry,2025,Navigating Bias in Human Resource Management,-1
Targeting the Mindful Traveler: A Guide to Segmenting the Mental Wellness Tourism Market,2026,Marketing Mental Wellness in Medical Tourism,6
The Role of Relational and Exchange Norms in Hotel Chains’ Facebook Engagement,2025,Tourism,10
"11th International Conference on Strategic Innovative Marketing and Tourism, ICSIMAT 2024",2025,Springer Proceedings in Business and Economics,11
Localization-based waiter robot for dynamic environment using Internet of Things,2025,International Journal of Information Technology (Singapore),1
"Service technology experiences and service manner: a conceptual model of customer expectations, emotional responses and outcomes in hospitality",2025,Qualitative Market Research,1
Beyond Entertainment: Quality-Centric Management Approaches for Zoo Visitor Satisfaction and Loyalty,2026,Eurasian Studies in Business and Economics,-1
The Use of GPT and Social Media for Operations Management. Application in Hospitality Smart Services,2024,Frontiers in Artificial Intelligence and Applications,2
The Effect of Global Consumption Culture on Consumers' Local Purchasing Intent in Accommodation Sector: Kusadasi Application; [Küresel Tüketim Kültürünün Tüketicilerin Konaklama Sektöründe Yerel Satın Alma Niyetine Etkisi: Kuşadası Uygulaması],2022,Romaya Journal: Researches on Multidisciplinary Approaches,-1
Perceptions and Acceptance of Cashless Gambling Technology: An Empirical Study of U.S. and Australian Consumers,2024,Cornell Hospitality Quarterly,-1
Service Value and Repurchase Intention in the Egyptian Fast-Food Restaurants: Toward a New Measurement Model,2022,International Journal of Environmental Research and Public Health,5
Designing the digitalized guest experience: A comprehensive framework and research agenda,2024,Psychology and Marketing,11
"Exploring value co-creation strategies to improve e-reputation in the hotel industry: insights from Fez, Morocco",2024,Innovative Marketing,3
Designing a Full Stack Application for Integrated HORECA Management System: User-Centered Approach,2023,"Proceedings of IEEE 2023 5th International Conference on Advances in Electronics, Computers and Communications, ICAECC 2023",14
Enhancing social media engagement by the hospitality industry: The power of customer experience dimensions,2024,Journal of Vacation Marketing,10
Analysing online customer experience in hotel sector using dynamic topic modelling and net promoter score,2023,Journal of Hospitality and Tourism Technology,2
Emotional Elements as Part of the Digital Tourism Experience,2023,Proceedings of the International Conference on Tourism Research,-1
"Library design, amenities, and services for enhancing the reading experience",2024,Journal of Access Services,-1
Proposed O4O Service Design to Improve the Online and Offline Integrated Dining Experience after COVID-19: Omnichannel Strategy of Small Restaurants; [코로나 19 이후 온·오프라인 통합 외식 경험 향상을 위한 O4O 서비스 디자인 제안- 소규모 음식점의 옴니채널 전략 중심으로],2023,Archives of Design Research,-1
Driving Strategic Flexibility: Unleashing the Power of Employee Engagement and Customer Experience for Business Recovery,2024,Interdisciplinary Journal of Management Studies,3
Digital Marketing of Hospitality and Tourism Organizations,2024,International Journal of Instructional Cases,-1
Promoting the Sustainable Recovery of Hospitality in the Post-Pandemic Era: A Comparative Study to Optimize the Servicescapes,2023,International Journal of Environmental Research and Public Health,9
Closing the service innovation gap in hospitality management: The case of a fast-food chain in Switzerland,2024,"Case Based Research in Tourism, Travel, and Hospitality: Rethinking Theory and Practice",12
Enhancing User Intention for Blockchain-based Food Security with Modified TAM,2025,Proceedings ICSINTESA 2025 - 2025 5th International Conference of Science and Information Technology in Smart Administration,-1
Assessment of customer expectations and perception in fast-casual restaurants,2024,International Journal of Services and Operations Management,5
The Impact of Online Word of Mouth (e-WOM) on End-User Purchasing Intentions: A Study on e-WOM Channels’ Effects on the Saudi Hospitality Market,2024,Sustainability (Switzerland) ,-1
La Pinekonez: navigating challenges of homestay business,2024,Emerald Emerging Markets Case Studies,-1
I just work here! Employees as co-creators of the employer brand,2023,Scandinavian Journal of Hospitality and Tourism,3
Using Culture for Customers Expectations Analysis in a Luxury Hotel,2025,Eurasian Studies in Business and Economics,-1
Brand Attitude and Frugality as a Lifestyle: Evidence from Coffee Shop Customers.,2023,Springer Proceedings in Business and Economics,8
Tourists’ Willingness to Adopt AI in Hospitality—Assumption of Sustainability in Developing Countries,2024,Sustainability (Switzerland) ,0
Use of Internet of Things in the Tourism and Hospitality Realm: A Descriptive Bibliometric Study using Bibliometrix R - Tool,2023,"Proceedings of the 2023 2nd International Conference on Electronics and Renewable Systems, ICEARS 2023",-1
Enhancing Online Food Service User Experience Through Advanced Analytics and Hybrid Deep Learning for Comprehensive Evaluation,2024,IEEE Access,2
Hotel guest satisfaction during COVID-19 outbreak: The moderating role of crisis response strategy,2022,Tourism Management,9
How waste-to-energy solutions influence service quality and tourist experiences in the hospitality sector,2024,Application of Waste-to-Energy Innovations in Tourism,-1
