"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"874 results found for My patents";"";"";"";"";"";"";"";"";
"Results 1 to 874 displayed";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"11";"Artificial intelligent platform for collaborating, automating and organizing drugs/medical/health-information between stakeholders in the pharmaceutical";"KIRAN SINGH BHATIA [CA] 
ISHAN ALOIS SINGH BHATIA [CA] 
ARJAN FELIX SINGH BHATIA [CA] 
USHVINDER SINGH BHATIA [CA]";"2524726 ONTARIO INC [CA]";"GB2601930A";"2019-07-23";"G16H10/60 
G16H20/10 
G16H80/00";"G06F21/6227 (EP,GB) 
G06F21/6245 (US) 
G06N20/00 (EP,GB) 
G06N5/043 (US) 
G06Q10/109 (EP,GB,US) 
G06Q30/0605 (EP,GB,US) 
G06Q30/0623 (EP,GB,US) 
G06Q30/0631 (EP,GB,US) 
G06Q30/0633 (EP,GB,US) 
G06Q30/08 (EP,GB,US) 
G08B21/24 (US) 
G16H10/60 (US) 
G16H20/10 (EP,GB,US) 
G16H40/20 (EP,GB,US) 
G16H50/20 (US) 
G16H50/70 (US) 
G16H70/40 (US) 
G16H80/00 (EP,GB,US) 
H04L12/1813 (EP,GB,US) 
H04L12/1895 (EP,GB,US) 
H04L51/046 (EP,GB,US) 
H04L51/066 (EP,GB) 
H04L51/10 (EP,GB) 
H04L63/04 (EP,GB,US) 
H04N7/147 (EP,GB) 
H04N7/15 (US) 
G06N3/006 (EP,GB) 
G08B21/24 (EP,GB) 
G16H40/67 (US) 
H04L63/102 (EP,GB)";"2022-06-15";"2021-01-28";"074190616";
"12";"System and method for portfolio generation based on fast genetic algorithm";"ALIAGA-DIAZ ROGER 
AHLUWALIA HARSHDEEP 
RENZI-RICCI GIULIO";"PIONER PILOT GROUP";"CN114600124A";"2019-08-26";"G06N3/00";"G06Q40/02 (US) 
G06Q40/04 (EP) 
G06Q40/06 (US) 
G06N3/086 (EP)";"2022-06-07";"2021-03-04";"074679904";
"13";"DIGITAL LAUNCH PLATFORM METHODS AND DEVICES";"JOHNSON RUSSELL TODD [US] 
DEFRANK EDMOND [US] 
WILLIAMS RONALD [US] 
ARNSBY CARL MICHAEL [US]";"JOHNSON RUSSELL TODD [US] 
DEFRANK EDMOND [US] 
WILLIAMS RONALD [US] 
ARNSBY CARL MICHAEL [US]";"US11734727B2 
US2022148272A1";"2019-10-01";"G06Q30/06 
G06T19/00 
G06T19/20 
G06Q30/00 
G06Q30/0201 
G06Q30/0204 
G06Q30/0241 
G06Q30/0242 
G06Q30/0251 
G06Q30/0601";"G06Q30/0201 (EP,US) 
G06Q30/0204 (EP,US) 
G06Q30/0242 (EP,US) 
G06Q30/0253 (EP,US) 
G06Q30/0276 (EP,US) 
G06Q30/0623 (US) 
G06Q30/0641 (US) 
G06T19/006 (US) 
G06T19/20 (US) 
G06T2219/2004 (US) 
G06T2219/2016 (US) 
G06T2219/2024 (US)";"2022-05-12 
2023-08-22";"2021-04-01";"075162091";
"14";"SMART CONTRACT-MANAGED DECENTRALIZED LENDING PROCESSES USING COLLATERAL TOKENS";"SLIWKA LUKASZ JAKUB [US] 
YANTIS JONATHAN [US] 
QUIGLEY WILLIAM EDWARD [US]";"VERONA HOLDINGS SEZC [KY]";"US2022358578A1";"2019-09-26";"G06Q20/38 
G06Q40/02";"G06N20/00 (CN,IL,KR) 
G06N3/006 (EP,KR) 
G06N7/01 (EP,CN,KR) 
G06Q20/065 (EP,CN,KR) 
G06Q20/3678 (EP,CN,KR) 
G06Q20/3825 (EP,CN,KR,US) 
G06Q40/02 (EP,KR) 
G06Q40/03 (EP,CN,US) 
H04L63/126 (EP,CN,KR) 
H04L9/0894 (EP,CN,KR) 
H04L9/3239 (EP,CN,KR) 
H04L9/50 (EP,KR) 
G06N20/00 (EP) 
G06Q2220/00 (US) 
H04L2209/56 (EP,CN,KR)";"2022-11-10";"2021-04-01";"075166451";
"15";"Referral Revenue System";"ROMANOV ALEKSANDAR 
QUINN NICHOLAS";"I REFER GLOBAL PTY LTD [AU]";"AU2023100012A4";"2021-02-07";"G06F17/18 
G06N20/00 
G06Q30/0207 
G06Q30/0214";"G06Q30/0214 (EP,AU,US) 
G06Q30/0215 (EP,US) 
G06Q30/0225 (AU) 
G06Q30/0227 (EP,US) 
G06Q30/0239 (AU)";"2023-03-09";"2021-04-22";"075502402";
"16";"DIGITAL TWIN FOR CONTROL TOWER AND ENTERPRISE MANAGEMENT PLATFORM MANAGING ENTITY REPLICAS AND E-COMMERCE SYSTEMS";"CELLA CHARLES HOWARD [US] 
SPITZ RICHARD [US] 
EL-TAHRY TEYMOUR S [US] 
CARDNO ANDREW [US] 
PARENTI JENNA [US] 
BLIVEN BRENT [US] 
DOBROWITSKY JOSHUA [US]";"STRONG FORCE VCN PORTFOLIO 2019 LLC [US]";"US2022051171A1";"2019-11-05";"G06F30/27 
G06N3/04 
G06Q10/06 
G06Q10/08 
G06Q30/02";"B25J9/163 (US) 
G05B13/0265 (US) 
G05B19/042 (US) 
G05B19/4155 (US) 
G06F16/2308 (EP) 
G06F16/2315 (US) 
G06F16/254 (US) 
G06F16/27 (EP,US) 
G06F16/283 (US) 
G06F16/284 (US) 
G06F18/214 (US) 
G06F18/2178 (US) 
G06F30/27 (US) 
G06N20/00 (US) 
G06N20/10 (EP) 
G06N20/20 (EP) 
G06N3/006 (EP) 
G06N3/04 (US) 
G06N3/042 (EP) 
G06N3/044 (EP) 
G06N3/0442 (EP) 
G06N3/045 (EP) 
G06N3/0455 (EP) 
G06N3/0464 (EP) 
G06N3/047 (EP) 
G06N3/049 (EP) 
G06N3/082 (EP) 
G06N3/084 (EP) 
G06N3/088 (EP) 
G06N3/0895 (EP) 
G06N3/09 (EP) 
G06N3/091 (EP) 
G06N3/092 (EP) 
G06N3/096 (EP) 
G06N3/098 (EP) 
G06N3/0985 (EP) 
G06N3/126 (EP) 
G06N5/01 (EP) 
G06N5/022 (EP) 
G06N5/025 (EP) 
G06N5/04 (EP,US) 
G06N7/01 (EP) 
G06Q10/04 (EP) 
G06Q10/063 (EP) 
G06Q10/0631 (US) 
G06Q10/063118 (US) 
G06Q10/06313 (EP,US) 
G06Q10/06315 (EP,US) 
G06Q10/06316 (US) 
G06Q10/0633 (EP,US) 
G06Q10/0635 (EP,US) 
G06Q10/0637 (EP,US) 
G06Q10/06375 (EP,US) 
G06Q10/0639 (EP) 
G06Q10/067 (EP,US) 
G06Q10/08 (EP,AU,US) 
G06Q10/083 (EP,US) 
G06Q10/0833 (EP,US) 
G06Q10/0834 (EP,US) 
G06Q10/0835 (EP,AU,US) 
G06Q10/0838 (EP,US) 
G06Q10/087 (AU,US) 
G06Q10/0877 (EP) 
G06Q10/10 (EP,US) 
G06Q10/103 (EP,US) 
G06Q30/018 (US) 
G06Q30/02 (EP) 
G06Q30/0201 (EP,US) 
G06Q30/0202 (EP,US) 
G06Q30/0206 (EP,US) 
G06Q30/06 (EP) 
G06Q30/0631 (US) 
G06Q30/0635 (EP,US) 
G06Q50/26 (EP,US) 
H04L41/0631 (US) 
H04L67/1097 (EP,US) 
H04L67/12 (EP,US) 
H04L9/3239 (EP) 
H04L9/50 (EP) 
B25J9/1656 (US) 
B64U2101/60 (EP,US) 
B64U2101/64 (EP,AU,US) 
G01S15/00 (AU) 
G01S17/00 (AU) 
G01S19/00 (AU) 
G05B13/04 (US) 
G05B2219/31229 (EP,US) 
G05B2219/40408 (US) 
G05B2219/50391 (US) 
G06N3/02 (AU) 
G06N3/08 (US) 
G06Q2220/00 (US) 
G06Q2220/10 (US) 
G16Y10/40 (US) 
G16Y10/45 (US) 
G16Y10/75 (US) 
G16Y30/00 (AU) 
G16Y40/10 (US) 
H04L2209/56 (EP) 
H04L67/104 (AU) 
H04L9/0637 (AU) 
H04L9/3236 (US) 
H04L9/50 (AU,US) 
H04W84/042 (US) 
Y02P90/90 (EP) 
Y04S40/18 (EP) 
Y04S40/20 (EP)";"2022-02-17";"2021-05-06";"075848613";
"17";"ARTIFICIAL INTELLIGENCE AND BLOCKCHAIN-BASED SYSTEM FOR CONTROLLING E-COMMERCE BIG DATA LOGISTICS SUPPLY CHAIN";"ALLAM MAALLA [CN] 
JIA QIWEI [CN]";"GUANGZHOU COLLEGE OF TECH AND BUSINESS [CN] 
ALLAM MAALLA [CN]";"WO2022228426A1";"2021-04-27";"G06Q10/04";"G06Q10/04 (CN) 
G06Q10/0875 (CN) 
G06Q30/0202 (CN)";"2022-11-03";"2021-07-20";"076816168";
"18";"Artificial intelligence selection and configuration";"CELLA CHARLES HOWARD 
EL-TAHRY TEYMOUR S 
PARENTI JENNA LYNN 
CHARON TAYLOR D";"STRONG FORCE TX PORTFOLIO 2018 LLC [US]";"AU2021216391A1";"2020-02-03";"G06N20/00 
G06N99/00";"G06N20/00 (EP,AU) 
G06Q10/10 (EP,AU) 
G06Q10/40 (AU) 
G06Q20/405 (EP) 
G06Q30/0201 (EP,AU) 
G06Q30/0208 (AU) 
G06Q30/0215 (AU) 
G06Q30/0278 (AU) 
G06Q40/03 (EP,AU) 
G06Q40/08 (EP) 
H04L9/3239 (AU) 
G06N3/0464 (EP,AU) 
H04L2209/56 (AU) 
H04L9/50 (AU)";"2022-09-01";"2021-08-12";"077200570";
"19";"ARTIFICIAL-INTELLIGENCE-BASED E-COMMERCE SYSTEM AND METHOD FOR MANUFACTURERS, SUPPLIERS, AND PURCHASERS";"SCHERWITZ SAM [CA]";"10644137 CANADA INC [CA]";"US2023206062A1";"2020-05-04";"G06N3/08";"G06N3/045 (EP) 
G06N3/0464 (EP) 
G06N3/08 (EP,US) 
G06N3/09 (EP) 
G06Q10/04 (EP) 
G06Q30/018 (EP) 
G06Q30/0201 (EP) 
G06Q30/0282 (EP) 
G06Q30/0609 (EP) 
G06F11/3006 (EP) 
G06F11/3476 (EP) 
H04L51/18 (EP)";"2023-06-29";"2021-11-11";"078467834";
"20";"Image retrieval methods devices and systems";"BAI RUIBIN 
WEI XIANG 
SUN YIPENG 
YAO KUN 
LIU JINGTUO 
HAN JUNYU";"BEIJING BAIDU NETCOM SCI & TECH CO LTD [CN]";"KR20220109363A";"2021-08-17";"G06F16/532 
G06F16/583 
G06K9/62 
G06N3/08";"G06F16/532 (KR) 
G06F16/535 (US) 
G06F16/583 (EP,CN,KR,US) 
G06N3/08 (KR) 
G06V10/40 (EP) 
G06V10/443 (KR,US) 
G06V10/74 (KR,US) 
G06V10/82 (EP,KR) 
G06V40/10 (EP,KR)";"2022-08-04";"2021-11-16";"078479986";
"21";"OPENMALL PROCESS AND METHOD OF SOCIAL COMMERCE USING ARTIFICIAL INTELLIGENCE";"CALI' GENNARO [IT]";"OPENAI S R L [IT]";"US2022343409A1";"2020-05-22";"G06Q30/06 
G06Q50/00";"G06Q10/40 (US) 
G06Q10/42 (EP) 
G06Q30/0204 (EP) 
G06Q30/0613 (EP) 
G06Q30/0643 (EP,US)";"2022-10-27";"2021-11-25";"071608035";
"22";"Intelligent virtual wearing and building method and device, equipment and storage medium";"WANG SHAOFENG";"UNIV CENTRAL SOUTH";"CN113902524A";"2021-10-13";"G06Q30/06 
G06T17/00 
G06V10/44 
G06V40/10 
G06V40/20";"G06Q30/0643 (CN) 
G06T17/00 (CN)";"2022-01-07";"2022-01-07";"079191811";
"23";"Commodity entity matching method and device based on set similarity";"ZHANG LEI 
WANG WENWEN 
REN YI 
XIAO MINGMING 
CHEN FUQIANG 
KOU JIAMIN";"LUBAN BEIJING E COMMERCE TECH CO LTD";"CN113934866A 
CN113934866B";"2021-12-17";"G06F16/36 
G06F40/242 
G06F40/289 
G06N5/02";"G06F16/367 (CN) 
G06F40/242 (CN) 
G06F40/289 (CN) 
G06N5/022 (CN) 
G06N5/027 (CN)";"2022-01-14 
2022-03-08";"2022-01-14";"079289183";
"24";"Smart home-based care health and safety cloud service system";"LI LAIXI";"BEIJING LIANXUN SECURITY TECH CO LTD";"CN113936760A";"2021-10-13";"G06Q30/06 
G06Q40/08 
G06Q50/10 
G16H10/60 
G16H40/00";"G06Q30/0601 (CN) 
G06Q40/08 (CN) 
G06Q50/10 (CN) 
G16H10/60 (CN) 
G16H40/00 (CN)";"2022-01-14";"2022-01-14";"079279220";
"25";"Electronic commerce commodity recommendation system based on artificial intelligence and big data";"YU SHIJUN";"YU SHIJUN";"CN113947457A";"2021-10-19";"G06F16/2457 
G06N3/04 
G06N3/08 
G06Q30/06";"G06F16/2457 (CN) 
G06N3/045 (CN) 
G06N3/08 (CN) 
G06Q30/0631 (CN)";"2022-01-18";"2022-01-18";"079331709";
"26";"Customer shopping intention and recommendation analysis system";"LIANG CHI-WEN [TW] 
CHUEH CHIA-HUNG [TW] 
LI YI-RU [TW] 
YANG CHIH-YU [TW]";"TURN CLOUD TECH SERVICE INC [TW]";"TWM622424U";"2021-07-30";"G06Q30/02";"";"2022-01-21";"2022-01-21";"080785793";
"27";"E-commerce platform commodity information display system and method based on artificial intelligence";"WEI JIANHUA";"HUAXIA WEN GUANG MEDIA GROUP CO LTD";"CN113988965A";"2021-09-28";"G06F16/9535 
G06F16/957 
G06Q30/06";"G06F16/9535 (CN) 
G06F16/957 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2022-01-28";"2022-01-28";"079737073";
"28";"Computer network architecture with machine learning and artificial intelligence and risk adjusted performance ranking of healthcare providers";"TALVOLA ERIK [US] 
SUN EMMET [US] 
ROGOW ADAM F [US] 
LARSON JEFFREY D [US] 
WARNER JUSTIN [US]";"CLARIFY HEALTH SOLUTIONS INC [US]";"US11238469B1";"2019-05-06";"G06N20/00 
G06N5/02 
G06Q30/02";"G06N20/00 (US) 
G06N20/20 (EP) 
G06N5/02 (US) 
G06Q30/0201 (EP,US) 
G16H40/20 (EP) 
G16H50/20 (EP) 
G16H50/30 (EP)";"2022-02-01";"2022-02-01";"080034441";
"29";"The measures and systems of online platform that connects both sides in a virtuous cycle through voluntary participation of users and developers.";"KWON HYUK MIN [KR]";"KWON HYUK MIN [KR]";"KR20220014543A";"2020-07-29";"G06N3/08 
G06Q30/02 
G06Q30/06 
G06Q50/00";"G06N3/0464 (KR) 
G06Q10/40 (KR) 
G06Q30/0278 (KR) 
G06Q30/0619 (KR) 
G06Q30/0631 (KR) 
G06Q30/0641 (KR)";"2022-02-07";"2022-02-07";"080253565";
"30";"Methods and systems of the A.IArtificial Intelligence coordinator platform";"KWON HYUK MIN [KR]";"KWON HYUK MIN [KR]";"KR20220015860A";"2020-07-31";"G06K9/62 
G06N3/08 
G06Q30/02 
G06Q30/06 
G06Q50/00 
G06V10/10";"G06F18/2413 (KR) 
G06N3/0464 (KR) 
G06Q10/40 (KR) 
G06Q30/0278 (KR) 
G06Q30/0631 (KR) 
G06Q30/0641 (KR) 
G06V10/74 (KR)";"2022-02-08";"2022-02-08";"080252420";
"31";"PLATFORM AND SYSTEM FOR EXTRACTING USER'S DATE OF BIRTH AND PROVIDING INFORMATION ON AI ROBOT AND CHATBOT-BASED CHAT, BLIND DATE, AND MARITAL HARMONY";"KIM MAN YI [KR] 
KIM YOUN HO [KR]";"KIM MAN YI [KR] 
KIM YOUN HO [KR]";"WO2022030852A1";"2020-08-05";"G06Q30/06 
G06Q50/10 
G06Q50/30";"G06Q30/06 (EP) 
G06Q30/0631 (KR) 
G06Q30/0641 (KR) 
G06Q50/10 (EP,KR) 
G06Q50/40 (EP,KR)";"2022-02-10";"2022-02-10";"080117404";
"32";"E-commerce reservation management method and system based on artificial intelligence";"WANG WEIMING";"TULIN TECH SHENZHEN CO LTD";"CN114037106A";"2021-09-21";"G06Q10/02 
G06Q30/06";"G06Q10/02 (CN) 
G06Q30/0601 (CN)";"2022-02-11";"2022-02-11";"080134484";
"33";"METHOD DEVICE AND SYSTEM FOR DERIVING CLOTHING SALE STRATEGY BASED ON CLOTHING TREND ANALYSIS BASED ON ARTIFICIAL INTELLIGENCE";"PARK HONG SIK";"AREING [KR]";"KR102363615B1";"2021-04-22";"G06N3/04 
G06Q30/02 
G06Q30/06";"";"2022-02-16";"2022-02-16";"080474803";
