"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"21 844 results found for (nftxt = ""e-commerce"" OR nftxt = ""online ordering"" OR nftxt = ""digital marketplace"") AND (nftxt = ""product search"" OR nftxt = ""recommendation"" OR nftxt = ""personalization"" OR nftxt = ""shopping cart"" OR nftxt = ""checkout"" OR nftxt = ""order management"" OR nftxt = ""mobile ordering"")";"";"";"";"";"";"";"";"";
"null";"";"";"";"";"";"";"";"";
"Query language: en / de / fr";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"Filters: Earliest publication date (family): 2022-01-01 To 2026-12-31";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"57";"E-COMMERCE METHOD AND SYSTEM OF ONLINE MARKET ACCORDING TO THE OPENING OF ONLINE MARKET PROVIDED BY PLURALITY OF CREATORS";"LEE JONG IN [KR] 
HEALIM KWON";"BORNTOBE CORP [KR]";"KR102667441B1 
KR20230052709A";"2021-10-13";"G06Q30/06 
G06Q50/00";"G06Q10/40 (KR) 
G06Q30/0613 (KR) 
G06Q30/0641 (KR)";"2023-04-20 
2024-05-20";"2023-04-20";"086143707";
"58";"Business management method and system based on data mining technology";"ZHOU XUE 
MOCKLAND 
WANG DALONG";"BEIHAI ANYING E COMMERCE CO LTD";"CN115760302A";"2022-11-28";"G06F16/9535 
G06Q30/0601 
G06V40/20";"Y02D10/00 (EP)";"2023-03-07";"2023-03-07";"085339710";
"59";"Artificial intelligence-based big data demand prediction method and system for e-commerce platform";"SUN WEI";"GUANGZHOU JINGCUI INTELLIGENT TECH CO LTD";"CN117333262A";"2023-10-09";"G06Q30/0201 
G06Q30/0601";"G06Q30/0201 (CN) 
G06Q30/0601 (CN) 
G06Q30/0605 (CN) 
G06Q30/0611 (CN)";"2024-01-02";"2024-01-02";"089291378";
"60";"Commodity display method and device of electronic shopping cart and computer equipment";"ZHENG YINGZHI";"CHUANGYOU DIGITAL TECH GUANGDONG CO LTD";"CN115249173A 
CN115249173B";"2022-05-27";"G06Q30/06 
G06Q30/0601";"G06Q30/0635 (CN) 
G06Q30/0643 (CN)";"2022-10-28 
2026-02-27";"2022-10-28";"083698691";
"61";"Commodity pushing method based on e-commerce marketing";"WANG CHEN";"FRANWELL INFORMATION TECH SUZHOU CO LTD";"CN116777563A";"2023-07-10";"G06F21/62 
G06Q30/0601";"G06F21/6245 (CN) 
G06Q30/0625 (CN) 
G06Q30/0631 (CN)";"2023-09-19";"2023-09-19";"088011438";
"62";"Electronic commerce data recommendation method based on big data";"LIU HUI";"GUICHANG GROUP CO LTD";"CN116911960A 
CN116911960B";"2023-09-12";"G06F16/35 
G06F16/9537 
G06Q30/0601";"G06F16/35 (CN) 
G06F16/9537 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2023-10-20 
2023-11-17";"2023-10-20";"088363381";
"63";"E-commerce data group purchase deduction system based on algorithm and artificial intelligence";"WANG HONGPING";"GUANGDONG DEAO SMART MEDICAL TECH CO LTD";"CN115775173A 
CN115775173B";"2023-02-13";"G06Q30/0202 
G06Q30/0601";"";"2023-03-10 
2023-11-03";"2023-03-10";"085393586";
"64";"Personalized recommendation analysis system for related merchandize of expired items in e-commerce website shopping cart";"TSENG YI-CHING [TW]";"TSENG YI CHING [TW]";"TWM672617U";"2025-02-14";"G06Q10/06 
G06Q30/00";"";"2025-07-11";"2025-07-11";"097226881";
"65";"E-commerce marketing system based on big data analysis";"BI YING 
ZHANG YUN";"SUZHOU GUANLAN TINGTAO DATA TECH CO LTD";"CN117726387A";"2022-09-16";"G06Q30/0201 
G06Q30/0601";"";"2024-03-19";"2024-03-19";"090203921";
"66";"Algorithm recommendation method based on e-commerce big data";"XU GANGFEI";"NANJI E COMMERCE SHANGHAI CO LTD";"CN118194913A";"2023-12-28";"G06N3/044 
G06N3/045 
G06Q30/0601";"G06N3/044 (CN) 
G06N3/045 (CN) 
G06Q30/0631 (CN)";"2024-06-14";"2024-06-14";"091409735";
"67";"Shopping cart adding method and device";"YUAN RUNHONG";"BEIJING JINGDONG ZHENSHI INFORMATION TECH CO LTD";"CN119067737A";"2023-05-30";"G06F3/04842 
G06Q30/0601";"G06F3/04842 (CN) 
G06Q30/0641 (CN)";"2024-12-03";"2024-12-03";"093630416";
"68";"E-commerce processing for an event-centric online shopping transaction";"TELANG ANDREA JAYNE [US] 
DARMODY TROY ADAM [US]";"SAFEWAY INC [US]";"US11416913B1";"2021-03-08";"G06Q20/12 
G06Q20/38 
G06Q30/02 
G06Q30/06";"G06Q20/12 (EP,US) 
G06Q30/0226 (EP,US) 
G06Q30/0635 (EP,US) 
G06Q20/386 (US)";"2022-08-16";"2022-08-16";"082802812";
"69";"METHODS AND SYSTEMS FOR INTERACTIONS WITH VIRTUAL SHOPPING CART VIEW";"RUNDLE JONATHAN [CA] 
BATINA KATARINA [US]";"SHOPIFY INC [CA]";"US20260065350A1";"2024-08-27";"G06F3/04845 
G06F3/04886 
G06Q30/0601";"G06F3/04845 (EP,US) 
G06F3/04883 (EP) 
G06F3/04886 (EP,US) 
G06Q30/0633 (EP,US) 
G06Q30/0641 (EP) 
G06Q30/0643 (EP)";"2026-03-05";"2026-03-05";"098900818";
"70";"Commodity information display optimization method and system based on real-time user interaction";"XIE WEICHAO 
HU RUIHANG 
ZHU YIKANG";"SHENZHEN HUOBANXING NETWORK TECH CO LTD";"CN118735661A 
CN118735661B";"2024-09-04";"G06F18/232 
G06F18/23213 
G06F18/26 
G06F18/27 
G06N3/08 
G06Q30/0601";"G06F18/232 (CN) 
G06F18/23213 (CN) 
G06F18/26 (CN) 
G06F18/27 (CN) 
G06N3/08 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN) 
Y02D10/00 (EP)";"2024-10-01 
2025-01-10";"2024-10-01";"092867679";
"71";"E-commerce platform commodity recommendation method and system based on big data";"LIU YOUZHANG 
HUANG CHENKE 
HUANG YUAN";"WOZHI NANNING INFORMATION TECH CO LTD";"CN119919212A";"2024-12-31";"G06F16/9535 
G06F16/9537 
G06F18/22 
G06F18/2431 
G06F18/25 
G06N3/0442 
G06N3/048 
G06Q30/0601";"";"2025-05-02";"2025-05-02";"095508321";
"72";"E-commerce commodity recommendation platform based on automatic algorithm";"HE BOWEN 
WU YUE";"WUHAN FAMILY DOMESTICATED CATTLE BIOTECHNOLOGY LTD COMPANY";"CN114549112A";"2021-11-18";"G06Q30/06";"G06Q30/0625 (CN) 
G06Q30/0631 (CN)";"2022-05-27";"2022-05-27";"081668645";
"73";"E-commerce management platform based on big data";"CHEN QINGWU 
WANG JINLONG 
ZHU LIANZHEN 
LI JI 
WANG LEI";"ZHEJIANG RED SUN ENTERPRISE MAN CONSULTING CO LTD";"CN116051241A 
CN116051241B";"2023-02-01";"G06F21/62 
G06Q30/0601";"G06F21/6245 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2023-05-02 
2023-12-12";"2023-05-02";"086120016";
"74";"E-commerce commodity recommendation optimization management system";"YANG DONG 
HU DIE";"NANJING JIEYOU INTERNET SERVICE CO LTD";"CN119671675A";"2024-12-02";"G06F16/334 
G06F16/9536 
G06F18/213 
G06F18/26 
G06N5/025 
G06Q30/0601 
G06Q50/00";"";"2025-03-21";"2025-03-21";"094997943";
"75";"E-commerce Systems Including Cross-Selling and E-commerce for Social Media";"GOLDBERG JASON [US] 
PERRY DAVID [US]";"GOVYRL INC [US]";"US20260094200A1";"2024-09-27";"G06Q10/087 
G06Q30/0251 
G06Q30/0601";"G06Q10/087 (EP,US) 
G06Q30/0255 (EP,US) 
G06Q30/0631 (EP,US) 
G06Q30/0641 (EP,US)";"2026-04-02";"2026-04-02";"099226282";
"76";"E-commerce inventory system oversell solving method, solving device, equipment and medium";"YU YANJUN";"VIPSHOP GUANGZHOU SOFTWARE CO LTD";"CN115759934A";"2022-11-29";"G06Q10/087 
G06Q30/0601";"";"2023-03-07";"2023-03-07";"085341018";
"77";"Artificial intelligence-based electronic commerce recommendation system";"HOU ENPAN 
LI KUNYI 
ZHANG WEIPING 
CHEN JINGYU";"GLOBAL DIGITAL TECH GROUP CO LTD";"CN118014697A 
CN118014697B";"2024-04-10";"G06F16/2457 
G06Q30/0601";"G06F16/2457 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN)";"2024-05-10 
2024-06-04";"2024-05-10";"090945780";
"78";"Personalized e-commerce commodity display method based on AI recommendation algorithm";"LIU LIANG";"LIU LIANG";"CN120807078A";"2025-06-06";"G06F16/9535 
G06F18/25 
G06N20/00 
G06Q30/0601 
G06Q50/00";"G06F16/9535 (CN) 
G06F18/25 (CN) 
G06N20/00 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2025-10-17";"2025-10-17";"097312793";
"79";"TIME SENSITIVE ITEM-TO-ITEM RECOMMENDATION SYSTEM AND METHOD";"CORREA JOSHUA [US] 
KUSHKULEY ALEXANDER [US]";"SALESFORCE COM INC [US]";"US2023245206A1";"2022-01-31";"G06F11/34 
G06Q30/02 
G06Q30/06";"G06F11/3438 (EP,US) 
G06F11/3476 (EP,US) 
G06Q30/0201 (EP,US) 
G06Q30/0631 (EP,US)";"2023-08-03";"2023-08-03";"087432381";
"80";"E-commerce commodity recommendation system and method based on big data";"WEI PEIJIA 
FENG YING";"SHIJIAZHUANG VOCATIONAL TECHNOLOGY COLLEGE SHIJIAZHUANG OPEN UNIV";"CN118134604A";"2024-03-25";"G06Q30/0601";"G06Q30/0631 (CN) 
G06Q30/0635 (CN)";"2024-06-04";"2024-06-04";"091231568";
"81";"METHOD AND APPARATUS FOR PROVIDING COUPON FOR ELECTRONIC COMMERCE SERVICE, AND RECORDING MEDIUM";"CHANG CATHERINE [KR] 
YOON MINJI [KR] 
JUNG YOUDAM [KR]";"COUPANG CORP [KR]";"WO2025058121A1";"2023-09-14";"G06Q20/12 
G06Q30/02";"G06Q20/12 (EP,KR) 
G06Q30/02 (EP) 
G06Q30/0207 (EP) 
G06Q30/0208 (EP,KR) 
G06Q30/0213 (KR) 
G06Q30/0224 (KR) 
G06Q30/0251 (EP) 
G06Q30/0255 (KR)";"2025-03-20";"2025-01-22";"094385145";
"82";"METHOD, APPARATUS, AND RECORDING MEDIUM OF ENCOURAGING SIGN-UP FOR MEMBERSHIP OF E-COMMERCE SERVICE";"CHANG CATHERINE [KR] 
CHOI YUNJEONG [KR] 
YANG YEOJOO [KR]";"COUPANG CORP [KR]";"WO2024257941A1";"2023-06-16";"G06Q30/02 
G06Q30/06";"G06Q30/02 (EP) 
G06Q30/0213 (KR) 
G06Q30/0217 (KR) 
G06Q30/0222 (KR) 
G06Q30/0224 (KR) 
G06Q30/0255 (KR) 
G06Q30/06 (EP) 
G06Q30/0633 (KR) 
G06Q30/0641 (KR)";"2024-12-19";"2024-12-19";"093852317";
"83";"Consumer Purchasing and Inventory Control Assistant Apparatus, System and Methods";"FERGUSON TODD B [US] 
CZACHOWSKI ANDREW M [US]";"TACO MARKETING LLC [US]";"US2024370915A1";"2021-05-14";"G06Q30/0601";"G06Q10/087 (EP) 
G06Q30/0601 (EP) 
G06Q30/0629 (US) 
G06Q30/0631 (US) 
G06Q30/0633 (US)";"2024-11-07";"2022-11-17";"084029862";
"84";"E-commerce platform-based management method and system";"XU BISHAN";"SHENZHEN OUMIJIA E COMMERCE CO LTD";"CN120317945A";"2025-03-25";"G06N3/006 
G06Q30/0601";"G06N3/006 (CN) 
G06Q30/0601 (CN) 
G06Q30/0625 (CN) 
G06Q30/0631 (CN)";"2025-07-15";"2025-07-15";"096334694";
"85";"Method and device for solving long tail effect in recommendation";"ZHANG YI 
YAN BO 
ZHANG MIN 
WU WEISEN";"SHENZHEN FENGXIANG INFORMATION TECH CO LTD";"CN116861323A 
CN116861323B";"2023-07-24";"G06F18/214 
G06F18/232 
G06F18/2411 
G06Q30/0601";"G06F18/214 (CN) 
G06F18/232 (CN) 
G06F18/2411 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN) 
Y02D10/00 (EP)";"2023-10-10 
2024-02-23";"2023-10-10";"088221457";
"86";"Data processing method and system based on private domain e-commerce platform, and storage medium";"ZHENG ZHIGUANG 
LI WEIHAN";"SHENZHEN BANRUOHAI TECH CO LTD";"CN117350766A 
CN117350766B";"2023-10-23";"G06F18/10 
G06F18/213 
G06F18/214 
G06F18/231 
G06F18/24 
G06Q10/087 
G06Q30/0201 
G06Q30/0601";"G06F18/10 (CN) 
G06F18/213 (CN) 
G06F18/214 (CN) 
G06F18/231 (CN) 
G06F18/24 (CN) 
G06Q10/087 (CN) 
G06Q30/0201 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-01-05 
2024-08-20";"2024-01-05";"089368914";
"87";"Multi-industry fusion Internet service platform and method based on data platform, and storage medium";"ZHOU JIAPENG 
TIAN ZHIMING 
XIAO YINGCONG 
ZHAO XING";"YUNNAN LIANHENG LIZHONG TECH CO LTD";"CN120182046A";"2025-03-24";"G06F16/22 
G06F16/25 
G06F21/62 
G06Q30/015 
G06Q30/016 
G06Q30/0201 
G06Q30/0601 
G06Q50/10 
G06Q50/163";"G06F16/2237 (CN) 
G06F16/254 (CN) 
G06F21/6245 (CN) 
G06Q30/015 (CN) 
G06Q30/016 (CN) 
G06Q30/0201 (CN) 
G06Q30/0206 (CN) 
G06Q30/0631 (CN) 
G06Q50/10 (CN) 
G06Q50/163 (CN)";"2025-06-20";"2025-06-20";"096033281";
"88";"E-commerce platform promotion method and system";"WANG JIANG";"DRILLING TECH SHANGHAI INFORMATION TECH LIMITED COMPANY";"CN114282942A 
CN114282942B";"2021-12-22";"G06Q30/02 
G06F16/9536 
G06Q30/0214";"";"2022-04-05 
2023-04-07";"2022-04-05";"080874123";
"89";"LIVE VIEW OF A WEBSITE SUCH AS AN E-COMMERCE STORE";"WAESE JAMIE [CA]";"SHOPIFY INC [CA]";"US12488382B2 
US2024070761A1";"2022-08-24";"G06Q30/06 
G06F16/954 
G06Q30/00 
G06Q30/0601";"G06F16/954 (US) 
G06F16/958 (EP) 
G06Q30/0633 (EP,US) 
G06Q30/0641 (EP,US) 
G06Q30/0643 (EP)";"2024-02-29 
2025-12-02";"2024-02-24";"089979502";
"90";"Cross-border e-commerce order management method and system";"DING YI 
XIE QINGMIN 
XU GUOWEI 
WANG ZIHUA";"SHAANXI NINGZHONGHUI CROSS BORDER E COMMERCE SERVICE CO LTD";"CN119444354A";"2024-10-22";"G06N7/02 
G06Q10/0831 
G06Q30/0601 
H04L9/32";"G06N7/02 (CN) 
G06Q10/0831 (CN) 
G06Q30/0609 (CN) 
G06Q30/0635 (CN) 
H04L9/3247 (CN)";"2025-02-14";"2025-02-14";"094525115";
"91";"Multi-pair sorting recommendation algorithm based on multiple implicit feedbacks";"WANG HONGJUAN 
ZHENG JIANCHANG";"BEIJING INST GRAPHIC COMMUNICATION";"CN119202375A";"2024-08-22";"G06F16/9535 
G06F18/2431 
G06N3/048 
G06N3/084 
G06Q30/0601";"G06F16/9535 (CN) 
G06F18/2431 (CN) 
G06N3/084 (CN) 
G06Q30/0631 (CN) 
G06N3/048 (CN)";"2024-12-27";"2024-12-27";"094058944";
"92";"E-commerce operation management system based on cloud platform";"LIU CHUANFENG 
FENG XUZHEN 
ZHAO LEI 
JIA XIN 
YUAN YANXIN";"TAIAN QILIN ELECTRONIC COMMERCE CO LTD";"CN119722237A";"2024-12-13";"G06Q30/0203 
G06Q30/0251 
G06Q30/0601";"Y02D10/00 (EP)";"2025-03-28";"2025-03-28";"095076314";
"93";"Online ordering cooperation system and method";"ZHU WEIXING 
JI SANYONG 
LIU ZHIGANG 
LIU JINGYONG 
PEI DAPENG";"SHOPEX SOFTWARE CO LTD";"CN119558927A";"2024-11-01";"G06Q10/10 
G06Q10/101 
G06Q30/0202 
G06Q30/0601 
G06Q40/04 
G06Q40/12";"G06Q10/101 (CN) 
G06Q10/103 (CN) 
G06Q30/0202 (CN) 
G06Q30/0635 (CN) 
G06Q30/0643 (CN) 
G06Q40/04 (CN) 
G06Q40/125 (CN)";"2025-03-04";"2025-03-04";"094743247";
"94";"System, method, and computer program for providing, automatically trying, and applying electronic coupon codes and cash back in electronic commerce";"CORRIERI NICHOLAS [US] 
GINSBERG JOHN [GB]";"PIGGY LLC [US]";"US11868922B1";"2015-09-09";"G06Q30/00 
G06Q30/0207 
G06Q30/0601 
H04L67/02";"G06Q30/0222 (EP,US) 
G06Q30/0239 (EP,US) 
G06Q30/0633 (EP,US) 
G06Q30/0643 (EP,US) 
H04L67/02 (EP,US)";"2024-01-09";"2024-01-09";"089434907";
"95";"Live broadcast e-commerce intelligent guide system and promotion method";"WANG YULIN 
ZHANG LIDONG 
XU JUN 
CHEN CONG 
HUANG FENG 
LI JIAJUN 
LU KEWEI 
YANG XIN 
YU JIE 
QIN SHENG";"HANGZHOU CIYUANDAO TECH CO LTD";"CN119128267A 
CN119128267B";"2024-09-10";"G06F16/9535 
G06F16/9537 
G06N3/0464 
G06N3/092 
G06Q30/0202 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9537 (CN) 
G06N3/0464 (CN) 
G06N3/092 (CN) 
G06Q30/0202 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN)";"2024-12-13 
2025-05-02";"2024-12-13";"093751619";
"96";"SINGLE CHECKOUT AND PURCHASE RECOMMENDATIONS IN A MULTI-VENDOR E-COMMERCE SYSTEM";"LAUE MATTHEW R [US]";"LAUE MATTHEW R [US]";"US2025200633A1";"2023-12-18";"G06Q30/0601";"G06Q30/0625 (EP,US) 
G06Q30/0631 (EP,US) 
G06Q30/0643 (EP,US)";"2025-06-19";"2025-06-19";"096022653";
"97";"AN E-COMMERCE ORDER MERGING FULFILMENT SYSTEM FOR SHIPMENT OF PACKAGES FROM DIFFERENT LOCATIONS AND OPTIMISATION OF THE DELIVERY THEREOF";"COOPER JAY [AU] 
COOPER NICHOLAS [AU]";"ISSIMO IP PTY LTD [AU]";"WO2023023760A1";"2021-08-25";"G06Q10/08 
G06Q30/06";"G06Q10/08 (EP,AU) 
G06Q30/0601 (EP,AU) 
G06Q30/0613 (AU) 
G06Q30/0639 (AU)";"2023-03-02";"2023-03-02";"085321360";
"98";"Multifunctional terminal management platform and management method";"LIU YUN";"ZIGONG HAITIAN CULTURE CO LTD";"CN115034752A";"2022-06-13";"G06F16/9535 
G06F17/18 
G06Q10/10 
G06Q30/00 
G06Q30/02";"G06F16/9535 (CN) 
G06F17/18 (CN) 
G06Q10/103 (CN) 
G06Q30/01 (CN) 
G06Q30/0208 (CN) 
G06Q30/0226 (CN)";"2022-09-09";"2022-09-09";"083124114";
"99";"E-commerce application commodity recommendation method and device";"NIU RUBING 
WANG MIN 
XU RUI";"SHANGHAI JULINGSHOU TECH CO LTD";"CN116562961A";"2023-04-19";"G06Q30/0601";"G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2023-08-08";"2023-08-08";"087493733";
"100";"E-COMMERCE MULTI-MARKET SUPPLY AND DEMAND EFFICIENT AND ACCURATE FUSION INTELLIGENT SYSTEM, METHOD AND DEVICE";"WANG JUNLING [CN]";"WANG JUNLING [CN]";"WO2023045176A1";"2020-09-21";"G06Q30/06";"G06F16/9535 (CN) 
G06K17/0025 (CN) 
G06Q30/0631 (CN)";"2023-03-30";"2022-08-30";"082975014";
"101";"E-commerce system";"CHOU SHIH-EN [TW] 
LIAO YU-CHI [TW] 
JHENG DONG-HAO [TW]";"MEIMAII TECHNOLOGY CO LTD [TW]";"TWM635937U";"2022-06-29";"G06Q30/06";"";"2023-01-01";"2023-01-01";"086658461";
"102";"System, method, and computer program for providing, automatically trying, and applying electronic coupon codes and cash back in electronic commerce";"CORRIERI NICHOLAS [US] 
GINSBERG JOHN [GB]";"PIGGY LLC [US]";"US11869027B1";"2015-09-09";"G06F16/955 
G06Q30/00 
G06Q30/0207 
G06Q30/0601";"G06F16/9566 (EP,US) 
G06Q30/0222 (EP,US) 
G06Q30/0641 (EP,US)";"2024-01-09";"2024-01-09";"089434879";
"103";"E-commerce data processing system based on artificial intelligence";"MENG ZHAOFANG";"SHANDONG BOSHANG E COMMERCE CO LTD";"CN119398863A";"2024-10-09";"G06F18/20 
G06Q10/087 
G06Q30/0201 
G06Q30/0601";"G06F18/20 (CN) 
G06Q10/087 (CN) 
G06Q30/0201 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN)";"2025-02-07";"2025-02-07";"094427377";
"104";"Page display method and device, equipment, medium and program product";"YUAN TIAN 
LIU CHAOPENG";"SHUNENG SHENGQIAO TECH SHANGHAI CO LTD";"CN121073592A";"2025-08-22";"G06F3/0483 
G06Q30/0601";"";"2025-12-05";"2025-12-05";"097841483";
"105";"AI Method and system on product search and combined products recommendation based on recognition of entities included in input document using AI";"CHUNG TAE SEOK";"B I CORP [KR]";"KR20230061769A";"2021-10-29";"G06N20/00 
G06Q30/02 
G06Q30/06";"";"2023-05-09";"2023-05-09";"086408655";
"106";"Off-line store order processing system of automobile e-commerce platform";"WANG JILUN";"WANG JILUN";"CN117035941A";"2023-08-25";"G06F16/953 
G06Q30/01 
G06Q30/0601";"G06F16/953 (CN) 
G06Q30/01 (CN) 
G06Q30/0635 (CN)";"2023-11-10";"2023-11-10";"088639090";
"107";"E-commerce intelligent integrated management and accurate analysis system";"LAN BINBIN";"HANGZHOU JUZHI BUTING NETWORK TECH CO LTD";"CN120374235A";"2025-04-23";"G06F16/215 
G06F16/25 
G06F16/27 
G06F16/28 
G06F16/9535 
G06F16/9536 
G06F18/22 
G06N20/20 
G06N5/04 
G06Q10/0637 
G06Q10/087 
G06Q30/0202 
G06Q30/0601";"G06F16/215 (CN) 
G06F16/254 (CN) 
G06F16/27 (CN) 
G06F16/284 (CN) 
G06F16/9535 (CN) 
G06F16/9536 (CN) 
G06F18/22 (CN) 
G06N20/20 (CN) 
G06N5/041 (CN) 
G06Q10/0637 (CN) 
G06Q10/087 (CN) 
G06Q30/0202 (CN) 
G06Q30/0631 (CN)";"2025-07-25";"2025-07-25";"096452544";
"108";"Commodity recommendation method, system and equipment based on event sequence and storage medium";"ZHANG BIN";"YISHANG HUIZHONG BEIJING TECH CO LTD";"CN115659055A";"2022-12-27";"G06F16/9535 
G06N3/08 
G06Q30/0601";"";"2023-01-31";"2023-01-31";"085022383";
"109";"E-commerce platform commodity intelligent analysis and recommendation system based on deep learning";"LIANG SHENYUAN";"WUHAN YANGHONG E COMMERCE CO LTD";"CN114971805A";"2022-06-07";"G06K9/62 
G06N20/00 
G06Q30/06";"G06F18/22 (CN) 
G06N20/00 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2022-08-30";"2022-08-30";"082959391";
"110";"PREDICTIVE PICKING OF ITEMS FOR PREPOPULATING A SHOPPING CART FOR A SHOPPER";"SANCHEZ KENNETH JASON [US] 
HERMANN ERIC [US]";"MAPLEBEAR INC DBA INSTACART [US]";"US2024331015A1";"2023-03-31";"G06Q30/02 
G06Q30/0601";"G06Q30/0281 (EP,US) 
G06Q30/0633 (EP) 
G06Q30/0635 (EP,US) 
G06Q30/0639 (EP,US)";"2024-10-03";"2024-10-03";"092896713";
"111";"SYSTEMS AND METHODS FOR USER PERSONALIZATION AND RECOMMENDATIONS";"BUZZELL MICHAEL LEON [US] 
BUZZELL NICHOLAS THEODORE [US]";"NBTV CHANNELS LLC [US]";"US2023377023A1";"2019-06-21";"G06Q30/0601 
G09G3/34";"G06Q30/0631 (EP,US) 
G06Q30/0633 (EP,US) 
G06Q30/0641 (EP,US) 
G09G3/3413 (US) 
G09G2320/062 (US)";"2023-11-23";"2023-11-23";"088791709";
"112";"Commodity recommendation model training and application method and electronic equipment";"KANG JI-SOUNG";"GUANGZHOU SHANGYAN NETWORK TECH CO LTD";"CN118586979A";"2024-05-28";"G06F18/214 
G06F18/2431 
G06Q30/0601";"G06F18/214 (CN) 
G06F18/2431 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN)";"2024-09-03";"2024-09-03";"092529180";
"113";"E-commerce data processing method, device and system";"LI XIAOYUN 
YANG CHENGWU";"DONGFANGHUN DIGITAL TECH BEIJING CO LTD";"CN119341827A";"2024-10-28";"G06F21/60 
G06F21/62 
G06F21/64 
G06Q30/0601 
H04L9/00 
H04L9/32 
H04L9/40";"G06F21/602 (CN) 
G06F21/6245 (CN) 
G06F21/64 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN) 
H04L63/0428 (CN) 
H04L9/3239 (CN) 
H04L9/50 (CN)";"2025-01-21";"2025-01-21";"094274584";
"114";"Intelligent operation system of cross-border e-commerce platform";"HAN BEIBEI 
YAO DAN";"SCIENCE AND TECHNOLOGY COLLEGE OF HUBEI UNIV OF ARTS AND SCIENCE";"CN118982402A";"2024-07-20";"G06N3/044 
G06N3/0442 
G06N3/045 
G06Q10/0875 
G06Q30/01 
G06Q30/0251 
G06Q30/0601";"G06N3/044 (CN) 
G06N3/0442 (CN) 
G06N3/045 (CN) 
G06Q10/0875 (CN) 
G06Q30/01 (CN) 
G06Q30/0255 (CN) 
G06Q30/0623 (CN) 
G06Q30/0631 (CN)";"2024-11-19";"2024-11-19";"093451485";
"115";"Electronic commerce information consultation method and system based on big data";"FAN TIEZHU";"SHANXI WEIJUN XINCHENG INFORMATION CONSULTING CO LTD";"CN121258639A";"2025-10-10";"G06F18/22 
G06F18/241 
G06Q30/0601";"";"2026-01-02";"2026-01-02";"098185901";
"116";"Co-purchasing system & method";"HANN MARK A [US] 
STARK JAMES [US]";"SPLITCART LLC [US]";"US12067592B2 
US2023098217A1";"2019-08-13";"G06Q20/02 
G06Q20/40 
G06Q30/0251 
G06Q30/0272 
G06Q30/0601";"G06Q20/027 (EP,US) 
G06Q20/227 (EP) 
G06Q20/384 (EP) 
G06Q20/405 (US) 
G06Q30/0253 (EP,US) 
G06Q30/0272 (EP,US) 
G06Q30/0605 (EP,US)";"2023-03-30 
2024-08-20";"2023-03-30";"085718430";
"117";"E-commerce platform commodity recommendation method based on AI intelligence";"HU SONGNAN 
YOU HUANHUAN 
WEI YINGYU 
ZHANG QIAN 
WANG MIN 
LUO JIE 
LUO FEN 
TIAN JINGYUAN 
FENG MINGSI";"CHINA COMMUNICATIONS XIAMEN E COMMERCE CO LTD";"CN121052904A 
CN121052904B";"2025-10-31";"G06N3/0442 
G06N3/0464 
G06N3/049 
G06N3/084 
G06N3/092 
G06Q10/087 
G06Q30/0601";"";"2025-12-02 
2026-03-27";"2025-12-02";"097805273";
"118";"AI-based order-making scheme recommendation method and device, storage medium and equipment";"ZHONG HANXIAO 
TIAN WEICHAO 
LI QIN 
HE SHIWEI 
TIAN YE";"CHENGDU ANYIXUN TECH CO LTD";"CN119941351A";"2024-12-24";"G06F16/9535 
G06Q30/0601";"";"2025-05-06";"2025-05-06";"095552349";
"119";"Promotion order processing method and device based on recommendation algorithm";"YANG MANPO 
YANG ZHOULONG 
PAN HONGJING";"DONGPU SOFTWARE CO LTD";"CN115496552A 
CN115496552B";"2022-09-15";"G06Q30/02 
G06Q30/06 
G06Q30/0207 
G06Q30/0211 
G06Q30/0601";"G06Q30/0211 (CN) 
G06Q30/0222 (CN) 
G06Q30/0239 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN)";"2022-12-20 
2024-03-29";"2022-12-20";"084467645";
