"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Fang Y.; Zhang C.; Sun Q.","Fang, Yan (58817849700); Zhang, Chi (59160165500); Sun, Qiang (57210393110)","58817849700; 59160165500; 57210393110","The Impact of Digitization of Living Service on Labor Income Share","2023","ACM International Conference Proceeding Series","","","","370","378","0","10.1145/3629378.3629412","https://www.scopus.com/pages/publications/85182602012?origin=resultslist","School of Economics and Management, North China University of Technology, Beijing, 100144, China","Fang Y., School of Economics and Management, North China University of Technology, Beijing, 100144, China; Zhang C., School of Economics and Management, North China University of Technology, Beijing, 100144, China; Sun Q., School of Economics and Management, North China University of Technology, Beijing, 100144, China","Based on provincial-level input-output data from China, this paper empirically analyzes the impact of digitalization in the living service industry on labor share at the industry level. The study finds that: (1) Digitalization of living services has a significant positive impact on the growth of labor share. Considering endogeneity and robustness issues, digitalization in the living service industry can positively affect labor share. (2) The impact of digitalization in the living service industry on labor income share varies across different regions in China. Digitalization of living service industry in the Mid & Western regions significantly promotes the growth of labor income share. Digitalization of consumption services, which include ""wholesale and retail trade"", ""accommodation and food services"", as well as ""culture, sports, and entertainment industries"", has a significant promoting effect on the growth of labor share. (3) In terms of the influencing mechanism, digitalization of living service industry promotes employment levels through the generation of job opportunities and the upgrading of employment structure, thereby increasing labor share in the industry. Additionally, digital transformation facilitates cost reduction and value addition in living services, leading to an increase in output in the living service industry, further driving the growth of labor income share. © 2023 ACM.","Digital transformation; Employment generation; Labor income share; Living service","Cost reduction; Employment; Digital transformation; Digitisation; Employment generation; Endogeneity; Input/output datum; Labor income share; Living service; Robustness issues; Service industries; Western region; Sales","","","Association for Computing Machinery","","979-840070882-4","","","English","ACM Int. Conf. Proc. Ser.","Conference paper","Final","","Scopus","2-s2.0-85182602012"
"Truong T.; Ngo T.","Truong, Thuy (59951221800); Ngo, Trang (60076438600)","59951221800; 60076438600","Unequal Gains from Digital Transformation? Evidence on Firm Performance Heterogeneity and Endogeneity in Vietnamese Enterprises","2025","Sustainability (Switzerland)","17","16","7309","","","1","10.3390/su17167309","https://www.scopus.com/pages/publications/105014356831?origin=resultslist","School of Economics, University of Economics Ho Chi Minh City, Ho Chi Minh City, 700000, Viet Nam","Truong T., School of Economics, University of Economics Ho Chi Minh City, Ho Chi Minh City, 700000, Viet Nam; Ngo T., School of Economics, University of Economics Ho Chi Minh City, Ho Chi Minh City, 700000, Viet Nam","This study examines the drivers and heterogeneous impacts of platformization—a form of digital transformation involving systems such as supply chain management, product data management, and integrated information technology solutions—on firm performance in a developing economy. Drawing on the Resource-Based View and Dynamic Capabilities View, we analyze data from 5542 Vietnamese firms across four sectors using an endogenous switching regression model, complemented by quantile regression. Platformization decisions are shaped by firm resources and managerial expectations, with strong sectoral variation. In manufacturing and construction, larger assets and a lower leverage promote adoption, while, in wholesale and retail, workforce size and perceived competitiveness are key drivers. Platformization enhances the returns to assets and cash flow—especially among high-performing firms—while reducing the negative effects of high debt and geographic disadvantages. The findings offer three practical implications: (1) prioritize digital adoption in asset-heavy sectors when financial conditions are stable; (2) invest in coordination- and customer-focused platforms in labor-intensive sectors; and (3) use digital tools to convert liquidity into performance gains. These insights support inclusive digitalization policies and contribute to Sustainable Development Goals 8 and 9 by linking digital transformation to resilience, adaptability, and innovation-led growth in transitional economies. © 2025 by the authors.","digital transformation; firm performance; heterogeneity; platformization; quantile regression; Vietnamese firms","Viet Nam; competitiveness; firm size; heterogeneity; industrial performance; information technology; manufacturing; performance assessment; prioritization; regression analysis; Sustainable Development Goal","T. Ngo; School of Economics, University of Economics Ho Chi Minh City, Ho Chi Minh City, 700000, Viet Nam; email: trangnht@ueh.edu.vn","","Multidisciplinary Digital Publishing Institute (MDPI)","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014356831"
"","","","11th International Conference of the International Association of Cultural and Digital Tourism, IACuDiT 2024","2025","Springer Proceedings in Business and Economics","","","","","","0","","https://www.scopus.com/pages/publications/105004643300?origin=resultslist","","","The proceedings contain 45 papers. The special focus in this conference is on International Association of Cultural and Digital Tourism. The topics include: The Douro Wine Villages Project, 20 Years On: The Perceptions of Entrepreneurs; regional Gastronomy in the Tourism Industry of Eastern Slovakia; ChatGPT as a Sentiment Analysis Tool: An Assessment Based on Negative Reviews of High-End UK Restaurants; the Profile of Accommodation and Food Services Activities in the Portuguese Economy; wine Tourism and Vienna’s Heurigen. Regulatory Framework and Problems; moving Toward Sustainability and Circular Economy in the Restaurant Industry; the Mutual Cultural Dependence Between Larissa and Thessaly; e-tourism and Museums: Challenges of Resilient Local Development in Aegean Islands; the Role of Heritage Hotels in the Identity of the Tourist Destination: Case Studies in Santorini (Thira), Magnesia and Ioannina; Digital App’s Effectiveness in Greek Cultural Context: Evaluating Users’ Satisfaction with Net Promoter Score (NPS); the Role of Innovation and Creativity in Supporting Cultural Vibrancy in European Cities; A Step Back in Time: Visiting Museums in the Heart of Bucharest During the COVID-19 Pandemic; perspectives and Potential of Literary Tourism as Part of Cultural Tourism: The Case of Greece; roots Tourism and Worldwide Apulian Associations’ Experience; A Cutting-Edge Exploration: A Literature Review on Optimizing Museum Experiences Through Digital Transformation and VR Tour Software with 3DVista; The Interface of Intangible Cultural Heritage and Marketing: A Systematic Literature Review (SLR); enhancing Cultural Heritage Tourism in Rural Areas Through Augmented Reality: A Case Study from Cyprus; profiling Potential Agritourists in Gauteng, South Africa.","","","","Katsoni V.; Costa C.","Springer Nature","21987246","978-303187018-7","","","English","Springer Proc. Bus. Econ.","Conference review","Final","","Scopus","2-s2.0-105004643300"
"Chen Y.; Yuan Y.; Bai Q.; Wang Y.; Cao X.","Chen, Yuyu (57191433517); Yuan, Yuan (60001185100); Bai, Qingguo (8908143500); Wang, Yaoyu (36835758500); Cao, Xuping (58836913900)","57191433517; 60001185100; 8908143500; 36835758500; 58836913900","Pricing and Coordination of Dual-Channel Supply Chain Considering Anchor Marketing Efforts; [考虑主播营销努力的双渠道供应链定价与协调研究]","2025","Computer Engineering and Applications","61","14","","322","331","0","10.3778/j.issn.1002-8331.2410-0284","https://www.scopus.com/pages/publications/105010850320?origin=resultslist","School of Business, Changshu Institute of Technology, Jiangsu, Suzhou, 215506, China; School of Civil and Environmental Engineering, Nanyang Technological University, Singapore, 639798, Singapore; School of Management, Qufu Normal University, Shandong, Rizhao, 276826, China; Dongwu Business School, Soochow University, Jiangsu, Suzhou, 215031, China","Chen Y., School of Business, Changshu Institute of Technology, Jiangsu, Suzhou, 215506, China; Yuan Y., School of Business, Changshu Institute of Technology, Jiangsu, Suzhou, 215506, China, School of Civil and Environmental Engineering, Nanyang Technological University, Singapore, 639798, Singapore; Bai Q., School of Management, Qufu Normal University, Shandong, Rizhao, 276826, China; Wang Y., Dongwu Business School, Soochow University, Jiangsu, Suzhou, 215031, China; Cao X., School of Business, Changshu Institute of Technology, Jiangsu, Suzhou, 215506, China","With the popularization and development of network information technology and e- commerce, enterprises have opened up online direct sales channels and introduced live streamers for platform broadcasting. To investigate the impact of anchor marketing efforts on dual channel supply chain pricing, market demand, and profits, and to explore the coordination effect of supply chain contracts when considering live streaming marketing, the paper constructs a dual channel supply chain game model for anchor marketing efforts, solves the optimal decisions of the dual channel supply chain with and without anchor marketing efforts, and compares them. In addition, wholesale price contract and two-part tariff contract are used to coordinate the supply chain. Research has found that, compared with not considering the anchor’s marketing efforts, considering such efforts can increase the supply chain’s final profit although it requires initial investment costs. Therefore, for enterprises, considering anchor marketing efforts within an affordable range is beneficial for achieving profit growth. In terms of contract coordination, a wholesale price contract cannot achieve supply chain coordination, while a two-part tariff contract can achieve supply chain coordination and win-win outcomes for supply chain members by adjusting the scope of fixed fees. Therefore, maintaining close cooperation with supply chain members is beneficial for achieving“win-win”supply chain coordination and alleviating the double marginalization effect. © 2025 Journal of Computer Engineering and Applications Beijing Co., Ltd.; Science Press. All rights reserved.","anchor marketing effort; dual-channel supply chain; game theory; pricing coordination","Contracts; Costs; Electronic commerce; Investments; Marketing; Profitability; Supply chain management; Supply chains; Anchor marketing effort; Dual-channel supply chains; E-commerce enterprise; Network information technology; Pricing coordination; Supply chain coordination; Technology and e commerces; Two-part tariff contract; Wholesale price contract; Win-win; Game theory","Q. Bai; School of Management, Qufu Normal University, Rizhao, Shandong, 276826, China; email: hustbaiqg@alumni.hust.edu.cn","","Journal of Computer Engineering and Applications Beijing Co., Ltd.; Science Press","10028331","","","","Chinese","Comput. Eng. Appl.","Article","Final","","Scopus","2-s2.0-105010850320"
"Glachant J.-M.; Rossetto N.","Glachant, Jean-Michel (8628759900); Rossetto, Nicolò (57211907723)","8628759900; 57211907723","New transactions in electricity: Peer-to-peer and peer-to-X","2021","Economics of Energy and Environmental Policy","10","2","","41","55","13","10.5547/2160-5890.10.2.JGLA","https://www.scopus.com/pages/publications/85114436095?origin=resultslist","Florence School of Regulation, EUI, Italy","Glachant J.-M., Florence School of Regulation, EUI, Italy; Rossetto N., Florence School of Regulation, EUI, Italy","Peer-to-peer and peer-to-x open a new world of transactions in the electricity sector. This world is characterised by the active involvement of new players, both small in size and non-professional in nature, and by new combinations of the activities carried out behind and in front of the meter. Peer-to-peer refers to transactions in which both the seller and the buyer are small in size and non-professional, whereas peer-to-x refers to transactions where only the seller is small and non-professional while the buyer is a different type of actor. Observations from the world of practice reveal the existence of multiple forms of peer-to-peer and peer-to-x transactions. The first part of the paper identifies six typical forms of transactions and illustrates them with concrete implementation cases. The second part simplifies such diversity of types and distinguishes only four families of transactions. The third shows the importance of three components which are essential to the functioning of this new world. They are the matching loop, as small players cannot sell or buy from other peers so easily; the pricing mechanism, as existing wholesale and retail markets exert pressure on incentives for activating peers; and the delivery loop, as peers must deliver via existing grids and system operators, except when trading entirely within private networks. Copyright © 2021 by the IAEE. All rights reserved.","Digital platforms; Electricity markets; Energy communities; Peer-to-peer electricity; Regulatory sandboxes; Transactive energy","","J.-M. Glachant; Florence School of Regulation, EUI, Italy; email: Jean-Michel.Glachant@eui.eu","","International Association for Energy Economics","21605882","","","","English","Econ. Energy Environ. Policy","Article","Final","","Scopus","2-s2.0-85114436095"
"Zhang N.; He Z.; Wu J.","Zhang, Nian (36989165300); He, Zheyu (59975343400); Wu, Jinyu (58159632100)","36989165300; 59975343400; 58159632100","Manufacturer vs. KOL: a comparative study of decision-making in live streaming e-commerce with consumers’ anticipated regret","2026","Expert Systems with Applications","295","","128875","","","4","10.1016/j.eswa.2025.128875","https://www.scopus.com/pages/publications/105009836589?origin=resultslist","School of Modern Posts, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; Chongqing Municipal Education Commission Digital Economy Innovation and Industrial Development Research Team, Chongqing, 400065, China; Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China","Zhang N., School of Modern Posts, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China, Chongqing Municipal Education Commission Digital Economy Innovation and Industrial Development Research Team, Chongqing, 400065, China, Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; He Z., School of Modern Posts, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; Wu J., School of Modern Posts, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China","With the rise of live streaming e-commerce, traditional retail is being gradually replaced by more interactive and real-time selling channels, that offer attractive pricing and have become a key strategy for manufacturer. However, the impact of consumers’ anticipated regret on decision-making within live streaming e-commerce remains insufficiently explored. This study introduces a novel analytical framework based on anticipated regret theory to analyze its effects on the live streaming supply chain. Demand functions for both retail and live streaming products are derived, and a game-theoretic framework incorporating both centralized and decentralized decision-making structures is developed, aiming to analyze the Manufacturer Self-operated (MSO) and Key Opinion Leader (KOL) live streaming models. To validate the proposed models, both theoretical analysis and numerical simulations are conducted to explore the effects of anticipated regret on key operational variables, including pricing strategies, market demand, and firm profitability. Furthermore, a revenue-sharing contract is proposed that optimizes the performance of live streaming e-commerce supply chains by offering managerial insights into pricing strategies, live streaming tactics, and revenue allocation mechanisms, thereby contributing to the sustainable development of live streaming e-commerce. The results reveal three findings: (1) Consumers’ anticipated regret leads to reductions in retail, wholesale, and live prices. (2) Both live streaming service quality and KOL characteristic exhibits threshold effects on pricing and demand. (3) A properly designed revenue-sharing contract improves supply chain coordination and increases profit for both the manufacturer and retailer. © 2025 Elsevier Ltd","Anticipated regret; Contract coordination; Key opinion leader; Live streaming e-commerce supply chain","Costs; Decision theory; Electronic commerce; Game theory; Profitability; Sales; Anticipated regret; Contract coordinations; Decisions makings; E- commerces; Key opinion leader; Live streaming; Live streaming e-commerce supply chain; Opinion leaders; Pricing strategy; Revenue sharing contracts; Supply chains","N. Zhang; School of Modern Posts, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; email: chinazhangnian@163.com","","Elsevier Ltd","09574174","","ESAPE","","English","Expert Sys Appl","Article","Final","","Scopus","2-s2.0-105009836589"
"Tan M.; Pei F.; He L.; Cheng H.; Huang S.","Tan, Manyi (8392913900); Pei, Fei (58245887500); He, Li (58246354200); Cheng, Hong (46061187600); Huang, Shupeng (57212505958)","8392913900; 58245887500; 58246354200; 46061187600; 57212505958","Optimal Decision-Making of Closed-Loop Supply Chains in E-Commerce Platform Considering Sales Cooperations under Environmental Effects and WEEE Regulations","2023","International Journal of Environmental Research and Public Health","20","9","5724","","","6","10.3390/ijerph20095724","https://www.scopus.com/pages/publications/85159104261?origin=resultslist","College of Management Science, Chengdu University of Technology, Chengdu, 610059, China; Southwest Jiaotong University Hope College, Chengdu, 610400, China","Tan M., College of Management Science, Chengdu University of Technology, Chengdu, 610059, China; Pei F., Southwest Jiaotong University Hope College, Chengdu, 610400, China; He L., College of Management Science, Chengdu University of Technology, Chengdu, 610059, China; Cheng H., College of Management Science, Chengdu University of Technology, Chengdu, 610059, China; Huang S., College of Management Science, Chengdu University of Technology, Chengdu, 610059, China","Nowadays, to achieve carbon neutrality, e-commerce platforms participate in the sales and recycling of electrical and electronic products in consideration of waste electrical and electronic equipment (WEEE) regulations and environmental effects. This study builds a Stackelberg game model for an e-commerce closed-loop supply chain (ECLSC) under different sales cooperation modes between a manufacturer of electrical and electronic products and an e-commerce platform. Reverse induction is used to obtain the optimal decision-making and profit of the ECLSC under three sales cooperation modes, considering the influence of environmental effects on optimal decision and objective functions. The results show the following: the sales cooperation mode and environmental cost do not affect the WEEE recovery prices of manufacturers and e-commerce platforms, nor do they affect government subsidy standards for dismantling WEEEs; they are, however, positively correlated with environmental benefits. Furthermore, the wholesale and retail prices of electrical and electronic products under different sales cooperation modes are related to sales cooperation modes and environmental costs. Moreover, the processing fees imposed on the manufacturers are related to the environmental costs of the electrical and electronic products; the thresholds of environmental costs of products for government to levy processing fees are different under different sales cooperation modes. Finally, the environmental cost of products required by the government’s levying of processing fees are the lowest under a hybrid model. Generally speaking, under WEEE regulations, governments should levy more processing fees for electrical and electronic products with higher environmental costs. Meanwhile, increased environmental benefits will always increase the profits of supply chain members, but increased environmental costs do not always reduce the profits of supply chain members, and multichannel product sales do not always generate profits for manufacturers. © 2023 by the authors.","e-commerce closed-loop supply chain (ECLSC); e-commerce platform; environmental effect; sales cooperation mode; WEEE regulation","Commerce; Costs and Cost Analysis; Electronics; Marketing; Recycling; decision making; electronic commerce; electronic waste; environmental effect; regulatory approach; retailing; supply chain management; waste management; article; decision making; e-waste; electronic commerce; game; government; price; profit; speech; commercial phenomena; cost; marketing; procedures; recycling","S. Huang; College of Management Science, Chengdu University of Technology, Chengdu, 610059, China; email: shupenghuang_2021@cdut.edu.cn","","MDPI","16617827","","","37174242","English","Int. J. Environ. Res. Public Health","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159104261"
"Jia X.","Jia, Xingxing (57213152309)","57213152309","Decision-making of online channels under three power structures","2020","Measurement and Control (United Kingdom)","53","3-4","","296","310","7","10.1177/0020294019879172","https://www.scopus.com/pages/publications/85077631526?origin=resultslist","School of Economics and Management, Beijing University of Posts and Telecommunications, Beijing, China","Jia X., School of Economics and Management, Beijing University of Posts and Telecommunications, Beijing, China","In recent years, e-commerce has developed rapidly. Many manufacturers are beginning to integrate with the Internet and regard online platforms, such as online marketplaces and self-owned online malls, as important sale channels for their products. Considering the difference of shopping experience between the two online channels, this paper models price and service competition between the two channels. This paper discusses the decisions of supply chain participants with three power structures, that is, the manufacturer Stackelberg game, the online marketplace firm Stackelberg game, and the Nash game. The results show that the channel service level and the consumer sensitivity to channel service positively affect the channel price and demand. We characterize a threshold for the wholesale price. When the wholesale price is below the threshold, the channel prices are lowest in the Nash game, and when the wholesale price is greater than the threshold, the channel prices are lowest when the manufacture acts as the leader. Differentiated services can improve the supply chain participants’ profits and the system’s profit compared with the same service. More interestingly, this paper finds that the online marketplace firm should pay attention to improving its service level, while the manufacturer should pay attention to other work differently, such as focusing on generating promotional value and shaping corporate brand image by the self-owned online mall channel. © The Author(s) 2020.","differentiated services; Online channel; power structure; price; service","Costs; Decision making; Image enhancement; Manufacture; Profitability; Supply chains; Differentiated Services; Online channels; Power structures; price; service; Electronic commerce","X. Jia; School of Economics and Management, Beijing University of Posts and Telecommunications, Beijing, China; email: xingxingjia@bupt.edu.cn","","SAGE Publications Ltd","00202940","","MEACB","","English","Meas. Control","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85077631526"
"Liang L.; Ye F.; Edwin Cheng T.C.","Liang, Lunhai (57612130800); Ye, Fei (57205679066); Edwin Cheng, T.C. (59550777500)","57612130800; 57205679066; 59550777500","Inducing information provision on hybrid fresh produce e-commerce platforms via supplier freshness-keeping effort","2026","Transportation Research Part E: Logistics and Transportation Review","208","","104711","","","0","10.1016/j.tre.2026.104711","https://www.scopus.com/pages/publications/105028511519?origin=resultslist","School of Information Engineering, Zhongnan University of Economics and Law, Wuhan, China; School of Business Administration, South China University of Technology, Guangzhou, China; Department of Logistics and Maritime Studies, The Hong Kong Polytechnic University, Hunghom, Kowloon, Hong Kong","Liang L., School of Information Engineering, Zhongnan University of Economics and Law, Wuhan, China; Ye F., School of Business Administration, South China University of Technology, Guangzhou, China; Edwin Cheng T.C., Department of Logistics and Maritime Studies, The Hong Kong Polytechnic University, Hunghom, Kowloon, Hong Kong","This paper investigates the interplay between a platform’s information sharing decisions and its business mode selections and demonstrates how suppliers’ freshness-keeping efforts affect this interplay in a fresh produce supply chain with a supplier and a platform. We develop a theoretical model with stochastic and freshness-dependent demand, which the supplier can maintain product freshness through freshness-keeping efforts. The platform may share private demand information to support the supplier’s freshness-keeping decision and operates three business modes, namely the reselling mode (R), agency mode (A), and hybrid mode (H). Our findings show that under Mode A, the platform always voluntarily shares information, achieving a win–win outcome for both the platform and the supplier. Under Modes R and H, although information sharing drives up the wholesale price, the platform still prefers to share information when the supplier’s freshness-keeping efficiency is sufficiently high. Specifically, under Mode H, a dual-threshold information-sharing policy emerges: even when freshness-keeping efficiency is moderate, the platform shares information only when the commission rate is moderate. Furthermore, we find that information sharing motivates the supplier to enhance freshness-keeping efforts, which in turn improves product freshness. This mechanism termed the freshness-keeping improvement effect of information sharing functions as a critical incentive for the platform to voluntarily share demand information. Additionally, adopting Mode H may increase the wholesale price and exacerbate the double-marginalization problem when the commission rate is sufficiently low. Finally, we find that the platform and the supplier can reach consensus on the HS strategy (i.e., Mode H with information sharing) and subsequently achieve a win–win outcome only when the commission rate is moderate. However, information sharing may hinder consensus on adopting Mode H and narrow the win–win region.​. © 2026 Elsevier Ltd.","Demand uncertainty; Fresh produce platform; Freshness-keeping effort; Hybrid business mode; Information sharing","Information analysis; Information dissemination; Stochastic models; Stochastic systems; Supply chains; Business mode; Demand information; Demand uncertainty; Fresh produce; Fresh produce platform; Freshness-keeping; Freshness-keeping effort; Hybrid business mode; Information sharing; Win-win; business; demand analysis; electronic commerce; information; Efficiency","F. Ye; School of Business Administration, South China University of Technology, Guangzhou, China; email: yefei@scut.edu.cn","","Elsevier Ltd","13665545","","","","English","Transp. Res. Part E Logist. Transp. Rev.","Article","Final","","Scopus","2-s2.0-105028511519"
"Zijian Z.; Yanchen L.","Zijian, Zhang (58511100800); Yanchen, Liu (58297331700)","58511100800; 58297331700","Research on product anti-counterfeiting management decision of online shopping platform; [线上购物平台的产品防伪治理决策研究]","2023","Journal of Industrial Engineering and Engineering Management","37","4","","114","122","0","10.13587/j.cnki.jieem.2023.04.009","https://www.scopus.com/pages/publications/85166064395?origin=resultslist","School of economics and management, Chongqing Jiaotong University, Chongqing, 400074, China","Zijian Z., School of economics and management, Chongqing Jiaotong University, Chongqing, 400074, China; Yanchen L., School of economics and management, Chongqing Jiaotong University, Chongqing, 400074, China","Many problems including the spread of counterfeit activities, consumer information leakage, information asymmetry, and dispute liability that are difficult to eliminate in the transaction process. For the development of the e-commerce market, it is important for us to explore effective counterfeiting governance methods, improve supply chain transparency and security, and enhance consumer trust and loyalty. Under the dual background of counterfeiting influence and the coexistence of different sales models in the market, this paper considers the two-stage supply chain system composed of brand owners and online platforms, establishes an anti-counterfeiting mechanism with online platforms as the main body, discusses anti-counterfeiting investment decisions of online platforms and the followup situations of brand owners under different channel models, and compares and analyzes whether the anti-counterfeiting investment mechanism under different channel models will produce different effects. The first part discusses the anti-counterfeiting investment decisions of online platforms under different channel models. There is a threshold for the impact of the penetration rate of counterfeit goods on anti-counterfeiting investment decisions. When the penetration rate of counterfeit goods is small, the online platform should not establish an anti-counterfeiting system; when the penetration rate of counterfeit goods is high, the online platform must be established; At the middle threshold, online platforms should make different decisions under different channel modes. This paper builds a two-stage game model, studies the impact of the establishment of anti-counterfeiting mechanism on the online platform on the profits of members in the supply chain, and analyzes and concludes the anti-counterfeiting investment decisions of the online platform under different channel modes. Four different models are formed: 1. WN model: All supply chain members are in the resale model, and the online platform has not established an anti-counterfeiting mechanism. At this time, the online platform purchases products from brand owners at wholesale prices and sells them at retail prices. 2. WB mode: All supply chain members are in the resale model, and the online platform establishes an anti-counterfeiting mechanism. At this time, after investing and establishing an anti-counterfeiting mechanism with a certain anti-counterfeiting credibility, the online platform purchases products from brand owners at wholesale prices and sells them at retail prices. 3. AC mode: All supply chain members are in agency model, and the online platform has not established an anti-counterfeiting mechanism. At this time, the online platform charges the brand owneracertain percentage of commission, and the brand owner sells the products at the retail price through the platform. 4. AB mode: All supply chain members are in agency mode, and the online platform establishes an anti-counterfeiting mechanism. At this time, after investing and establishing an anti-counterfeiting mechanism with a certain anti-counterfeiting credibility, the online platform charges the brand owneracertain percentage of commission, and the brand owner sells the products at the retail price through the platform. The game models under the four modes are established respectively, and the optimal decision of online platforms and brand owners are obtained through the reverse solution method. The first part discusses the anti-counterfeiting investment decisions of online platforms under different channel models. There is a threshold for the impact of the penetration rate of counterfeit goods on anti-counterfeiting investment decisions. When the penetration rate of counterfeit goods is small, the online platform should not establish an anti-counterfeiting system; when the penetration rate of counterfeit goods is high, the online platform must establish an anti-counterfeiting system; and when the penetration rate of counterfeit goods is in the middle threshold, the online platform should make different decisions under different channel modes. The second part discusses the follow-up situations of brand owners after the online platform makes anti-counterfeiting investment decisions. When the penetration rate of counterfeit goods is small, brand owners in both modes should choose an online platform without an anti-counterfeiting mechanism; when the penetration rate of counterfeit goods is high, brand owners in both modes should choose an online platform with an anti-counterfeiting mechanism; when the penetration rate is in the middle threshold, brand owners in different channel models should make different choices, that is, brand owners in resale model should cooperate with online platforms which have not established an anti-counterfeiting mechanism, and brand owners in agency model should cooperate with online platforms which has established anti-counterfeiting mechanism. The third part discusses the influence of the establishment of the anti-counterfeiting mechanism on the total profit of the supply chain under different models. There is a threshold for the penetration rate of counterfeit goods under two different sales channel models, which promotes the total profit of the supply chain after the establishment of the anti-counterfeiting traceability mechanism, and the expected effect may not be achieved beyond this threshold. The fourth part discusses the influence of different channel models on the effect of anti-counterfeiting mechanism. The commission ratio plays a major role in the comparison of different channel models. Before and after the establishment of the anti-counterfeiting mechanism, the different thresholds of the commission ratio will lead to choice preferences of different model for brand owners and online platforms, but there is always an area about the commission ratio in the agency model, which makes the profits of brand owners and online platforms higher than that in resale model. In short, when online platforms make anti-counterfeiting investment decisions, they must fully consider the follow-up situation and cooperative willingness of brand owners, and the impact of channel models on the effect of anti-counterfeiting mechanisms. The discussion in this paper is carried out under the supply chain structure composed of a single brand owner and a single retailer. In follow-up studies, we can expand the main body to study the supply chain structure of two brand owners or two retailers, and can also introduce counterfeiters. © 2023, Journal of Industrial Engineering and Engineering Management. All Rights Reserved.","Anti-counterfeiting traceability; Channel model; Decision-making mechanism; Online platform","","","","Zhejiang University","10046062","","","","English","J. Industrial Eng. Eng. Management","Article","Final","","Scopus","2-s2.0-85166064395"
"Liu Y.; Jiang M.; Wu H.","Liu, Yue (58181871700); Jiang, Minghui (36570418000); Wu, Hang (59818839300)","58181871700; 36570418000; 59818839300","The Brushing Game in Online Marketplaces","2023","International Journal of Electronic Commerce","27","2","","163","184","3","10.1080/10864415.2023.2184237","https://www.scopus.com/pages/publications/85152360286?origin=resultslist","School of Management, Harbin Institute of Technology, Harbin, China","Liu Y., School of Management, Harbin Institute of Technology, Harbin, China; Jiang M., School of Management, Harbin Institute of Technology, Harbin, China; Wu H., School of Management, Harbin Institute of Technology, Harbin, China","We study a pervasive fraudulent strategy, called “brushing,” employed by retailers operating in e-commerce platforms: Retailers place fake orders of their own products to inflate sales and boost the visibility of their store links in search results. Using a duopolistic pricing game with heterogeneous consumer search behavior, we show that the retailer at a more prominent position in product listing enjoys greater profit as well as an advantage in future position allocation if the platform charges a per-sale commission fee and uses a sales-based ranking mechanism to display store-link positions. To fight for better visibility, retailers may employ brushing to boost their sales metrics. We characterize the equilibrium brushing behavior for the position competition game between the retailers. Under a sufficiently high commission rate, the game has a pure-strategy equilibrium and entails no-brushing outcome. Otherwise, retailers fully engage in brushing activity and the brushing equilibrium exists only in mixed strategies. Model extensions incorporating heterogeneities in wholesale cost and product quality show that retailers with cost and quality advantages are able to gain profit improvement at a less prominent position and thereby have less incentive to invest in brushing. Our results provide platform managers and retailers with economic insights to better understand the logic for brushing fraud and strategic decisions in online marketplaces. © 2023 Taylor & Francis Group, LLC.","e-commerce fraud; e-tail fraud; fake orders; Online brushing; online commissions; online pricing; position competition; price competition","","H. Wu; School of Management, Harbin Institute of Technology, Harbin, China; email: hang.wu@hit.edu.cn","","Routledge","10864415","","","","English","Int. J. Elect. Commer.","Article","Final","","Scopus","2-s2.0-85152360286"
